video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
mcDB4pqLhfI,"My 2022 Favorites! Makeup, Skincare, + more!","You can thrift my picks at https://thredup.com/x/bethany and use my code BETHANY for an extra 30% off and free shipping on your first order. (Offer expires 2/1/23. Applies to US & Canada customers only. See site for full terms). This video is sponsored by thredUP!



hey.. u should subscribe to meee :) →    @bethanymota  

2nd channel:  @BethanyMotaVlogs 

**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **

Business: DigitalBethanyMotaTeam@unitedtalent.com

my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota",2022-12-16T00:12:53Z,PT14M44S,hd,2d,false,True,215663,5333,0,372,public
-XQjycHOg7g,My Top 3 Holiday Gift Ideas! #FromYouTubeToYou #ad,,2022-11-23T19:59:19Z,PT1M,hd,2d,true,True,30644,962,0,17,public
yzsEnpnI-vA,Christmas Decorate With Me! Holiday Prep 2022 | #FromYouTubeToYou #ad,"If you wanna purchase and learn more about the gift ideas I mentioned in this video, click on ""View Products"" at the bottom of this video! #ad Thanks to @YouTube for making it super easy to view all the things I mentioned so you can easily shop for your loved ones this season.. or yourself ;)  Thanks YouTube for partnering with me on this video! You can find more holiday gift ideas by searching #FromYouTubeToYou or visiting youtube.com/shopping



hey.. u should subscribe to meee :) →   @bethanymota 

2nd channel: @BethanyMotaVlogs 

**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **

Business: DigitalBethanyMotaTeam@unitedtalent.com

my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota",2022-11-19T19:25:55Z,PT9M26S,hd,2d,false,True,140089,4054,0,263,public
Xenj_fx4w2E,I moved..,"You can thrift my picks https://thredup.com/x/bethany and use my code BETHANY for an extra 30% off and free shipping on your first order. (Offer expires 10/31/22. Applies to US & Canada customers only. See site for full terms). 

This video is sponsored by thredUP!


hey.. u should subscribe to meee :) →   @Bethanymota
**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **

Business: DigitalBethanyMotaTeam@unitedtalent.com

my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota",2022-09-24T00:19:52Z,PT14M34S,hd,2d,false,True,220260,5759,0,179,public
yeWH2hxsB8Y,Reading Viral TikTok Books for 24 HOURS,"Thanks so much to CVS Pharmacy for sponsoring todays video! Check out the CVS CarePass membership program for $5/month and your first month FREE! They provide so many awesome perks that help you stress less and save more time and money. You can join right now with this link and start enjoying all of the amazing benefits :) 
https://www.cvs.com/carepass/join?cid=sm_inf_cp_BethanyMotaYT
#CVSPartner #CVSCarepass
#HealthierHappensTogether @CVSPharmacy


I hope you enjoy Reading Viral TikTok Books for 24 Hours!
Should I do more book related videos?????

also, leave a comment with your best book recommendations
cause I wanna read em :)


love u



my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota 


------------------------------------------------------------------------
Business: DigitalBethanyMotaTeam@unitedtalent.com",2022-07-31T22:21:12Z,PT9M54S,hd,2d,false,True,207641,8476,0,350,public
CVLEXwppll8,Eating Only Gas Station Food for 24 Hours!,"Shop summer trends under $20! Go to https://www.thredup.com/lp/bethanymotajune22?utm_source=vlogger&utm_medium=influencer&utm_campaign=vlogger_bethanymotajune22&referral_code=vlogger_bethanymotajune22
 and use my code MOTA35 to get an extra 35% off your first order AND free shipping. This code is good for EVERYTHING on thredUP! (Offer expires 9/30/22. Applies to US & Canada only. See site for full terms). 

This video is sponsored by thredUP!

hey.. u should subscribe to meee :) →   @Bethanymota
**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **

my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota 


------------------------------------------------------------------------
Business: DigitalBethanyMotaTeam@unitedtalent.com",2022-07-24T01:49:09Z,PT10M37S,hd,2d,false,True,147453,5648,0,168,public
YPOjHxM0R5g,Spending $1000+ to GLOW UP for Summer 2022!,"Thanks to Princess Polly for sponsoring this video!Shop all my looks and soo much  more at https://us.princesspolly.com/
and use my code: BETHANYX20 for 20% OFF sitewide!! 

Princess Polly pieces worn:

Sunshine On A Rainy Day Knit Top • Size: S/M
https://us.princesspolly.com/products/sunshine-on-a-rainy-day-knit-top-blue?variant=39410487328852

Miami Vice Pants • Size: US 4
https://us.princesspolly.com/products/miami-vice-pants-green?variant=39432598224980

Lux Sneakers • Size: US 7
https://us.princesspolly.com/products/windsor-smith-lux-sneakers-white?variant=28941229031508

Organic Classic Crop Tee • Size: US 4
https://us.princesspolly.com/products/the-classic-crop-tee-black-earth-club?variant=32855720951892

Organic Abigail Midi Skirt • Size: US 4
https://us.princesspolly.com/products/abigail-midi-skirt-black-earth-club?variant=32971891245140

Finnley Top • Size: S/M
https://us.princesspolly.com/products/finnley-top-green-multi?variant=39529588785236

Organic Jemma Low Rise Bootcut Jeans • Size: US 4
https://us.princesspolly.com/products/organic-cotton-jemma-low-rise-bootcut-jeans?variant=39534900805716

Recylced Fibers Aloha Top • Size: US 4
https://us.princesspolly.com/products/recycled-fibers-aloha-top-green-pink?variant=39540503969876

Archer Pants • Size: US 4
https://us.princesspolly.com/products/archer-pants-pink

Mahalia Shirt • Size: US 6
https://us.princesspolly.com/products/mahalia-shirt-white?variant=32954301710420

Hampshire Sunglasses
https://us.princesspolly.com/products/hampshire-sunglasses-pink

** Free Express Shipping (3-4 days) to the US on orders over $50USD!!
* Princess Polly also offers AfterPay and ShopPay to all US customers :)



Hope you enjoy this 24 Hour GLOW UP FOR SUMMER 2022 ! :)


hey.. u should subscribe to meee :) →   @Bethanymota
**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **

my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota 


------------------------------------------------------------------------
Business: DigitalBethanyMotaTeam@unitedtalent.com",2022-06-06T00:14:34Z,PT12M48S,hd,2d,false,True,156013,6150,0,208,public
bQCgZrH-lh8,"CHIT CHAT GRWM: Tattoo Tour, Moving, Dating!!","Thank you CVS Pharmacy for sponsoring today's video! Check out the CVS CarePass membership program for $5/month and your first month FREE!! So many great perks to help you stress less and save more. Join the party and sign up with this link to start enjoying all the incredible benefits:
https://www.cvs.com/carepass/join?cid=sm_inf_cp_BethanyMotaYT

#CVSPartner #CVSCarepass #HealthierHappensTogether @CVSPharmacy




hey.. u should subscribe to meee :) →  @bethanymota  
**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **

my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota 


------------------------------------------------------------------------
Business: DigitalBethanyMotaTeam@unitedtalent.com",2022-05-30T02:07:19Z,PT14M53S,hd,2d,false,True,187062,5719,0,280,public
5CcPqCRn56U,Reacting to my OLD VIDEOS! |Bethany Mota #shorts,"hey.. u should subscribe to meee :) →   @bethanymota  
**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **

my links !! ↓ 

▶︎ Vlog Channel: @BethanyMotaVlogs 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota 


------------------------------------------------------------------------
Business: Bethanymotauta@gmail.com",2022-02-26T02:09:26Z,PT16S,hd,2d,false,True,195949,6486,0,155,public
n5mQavLs2V4,Extreme Closet Cleanout!! *getting my life together* | Bethany Mota,"Get up to 60% off your first order and free shipping with my code BETHANY:
https://bit.ly/thredUPfeb22_BETHANY
Get your items sooner by shopping secondhand. (Offer expires 4/30/22. Applies to US & Canada customers only. See site for full terms). This video is sponsored by thredUP!

Hope you enjoy watching me get stressed af while giving my closet
an extreme cleanout !!! lol

hey.. u should subscribe to meee :) →  @bethanymota 
**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **

my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota 


------------------------------------------------------------------------
Business: DigitalBethanyMotaTeam@unitedtalent.com


psssttt.. if u read this far down leave a comment
telling me your favorite song atm (plz do it I need new ones to listen to)",2022-02-20T16:06:37Z,PT11M20S,hd,2d,false,True,170967,5498,0,233,public
2IVeF2A6DUM,My BOYFRIEND Gives Me A Makeover!!,"Today.. my boyfriend gives me a makeover!! Should I give him one next??

Thanks so much to EOS for sponsoring this video!
Shop now at Walmart #eosliptreatments
https://www.youtube.com/channel/UCwlG01E05JFQ2Zdz0_kgH6Q
@evolutionofsmooth 


hey.. u should subscribe to meee :) → @bethanymota 
**  also if u turn post notifications on RIGHT NOW I'll actually love u forever 👁👄👁 **


Subscribe to Dom's Channel: https://www.youtube.com/c/theDOMINICshow

my links !! ↓ 

▶︎ TikTok: https://www.tiktok.com/@bethmota?lang=en

▶︎ Insta: https://www.instagram.com/bethanynoelm

▶︎ Twitter: http://twitter.com/bethanymota 


------------------------------------------------------------------------
Business: DigitalBethanyMotaTeam@unitedtalent.com",2022-02-05T17:48:44Z,PT9M47S,hd,2d,false,True,188761,6040,0,248,public
LAifF-w0ZCc,MY COZY WINTER NIGHT ROUTINE | Christmas 2021,"You guys have to check out the CVS CarePass membership program for $5/month, plus your first month FREE! Click this link for even more amazing benefits and to sign up:
https://www.cvs.com/carepass/join?cid=sm_inf_cp_BethanyMota
#CVSPartner #DiscoverCVS #CVSCarePass @CVSPharmacy

I hope you enjoy my Cozy Holiday Winter Night Routine!
We could all use a good self care routine for the holidays :)




FIND ME HERE 

Twitter: http://twitter.com/bethanymota 

Insta: https://www.instagram.com/bethanynoelm

TikTok: @bethmota


Business: DigitalBethanyMotaTeam@unitedtalent.com




hiiii if you're still reading this comment 
""jingle bells y'all""",2021-12-19T22:14:08Z,PT11M15S,hd,2d,false,True,210739,8576,0,268,public
