video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
f50-ggelQTo,Local Braddahz with their ✨fresh catch✨ be like 🫣🎣,Local Braddahz with their ✨fresh catch✨ be like 🫣🎣,2025-05-18T19:03:04Z,PT14S,hd,2d,false,True,6526,383,0,10,public
mz6Qi9Oi1W0,Bretney Spears and Justice Timberlake fantasy 💙 with #guesspartner,Bretney Spears and Justice Timberlake fantasy 💙 with #guesspartner,2025-05-18T19:02:38Z,PT15S,hd,2d,false,True,10800,550,0,12,public
uSsbQkpxU8g,Local Brahdahz with they fresh catch 🎣🐟,Local Brahdahz with they fresh catch 🎣🐟,2025-05-17T19:50:17Z,PT14S,hd,2d,false,True,38712,2029,0,53,public
VYFAcIBBnEA,Local Braddahz with their ✨fresh catch✨ be like 🫣🎣,Local Braddahz with their ✨fresh catch✨ be like 🫣🎣,2025-05-17T19:50:16Z,PT14S,hd,2d,false,True,14718,712,0,16,public
G_sPSmgKjxc,Let’s eat some guavas !! 🏝️,Let’s eat some guavas !! 🏝️,2025-05-17T19:14:50Z,PT2M1S,hd,2d,false,True,40000,3999,0,77,public
qXszuz03UDM,Let’s try some Sumo Citrus 🍊 I’ve never had these before but I will be going back for more,Let’s try some Sumo Citrus 🍊 I’ve never had these before but I will be going back for more,2025-05-16T19:10:41Z,PT1M46S,hd,2d,false,True,23037,1557,0,33,public
FM-isXNDzfo,ME @ 7AM: hmmmm I wonder which one of my chicken is the fastest ??? 🤔🐓 Girl I know my neighbors,"ME @ 7AM: hmmmm I wonder which one of my chicken is the fastest ??? 🤔🐓

Girl I know my neighbors are sick of me making chicken noises this early",2025-05-15T19:11:37Z,PT32S,hd,2d,false,True,21135,1052,0,15,public
zFSYeYglwHw,Mood,Mood,2025-05-15T19:10:44Z,PT14S,hd,2d,false,True,23942,1170,0,16,public
yHOR9kjtSUc,ME 7AM: hmmmm I wonder which one of my chicken is the fastest ??? 🤔🐓 Girl I know my neighbors are,ME 7AM: hmmmm I wonder which one of my chicken is the fastest ??? 🤔🐓 Girl I know my neighbors are sick of me 😭😂,2025-05-15T18:45:51Z,PT32S,hd,2d,false,True,38650,1755,0,23,public
l5hOGhM4J0Y,Everything I ate and tried in Thailand !! 🇹🇭 everything was a 10/10 no notes 🥭,Everything I ate and tried in Thailand !! 🇹🇭 everything was a 10/10 no notes 🥭,2025-05-14T19:12:26Z,PT1M57S,hd,2d,false,True,33864,2857,0,30,public
Oa8sAEDuLyM,Like…….,Like…….,2025-05-14T03:45:03Z,PT24S,hd,2d,false,True,70405,4964,0,138,public
P55YuZxH_JU,New Mural done by the talented @punkyaloha 🏝️🌈💚 ALSO happy AAPI month !! make sure we are always,"New Mural done by the talented @punkyaloha 🏝️🌈💚 ALSO happy AAPI month !! make sure we are always supporting one another !!! ✨ esp our local artist !! 

Shar I loooved you for sooo many years! And I will always cherish this art forever!! I literally can’t move now, bc I want these garage doors forever !!🥺🥰 Mahalo nui !! @punkyaloha",2025-05-13T19:13:43Z,PT49S,hd,2d,false,True,24811,1079,0,8,public
6qlmf0mKcd8,Bretmanrock X get into it 🌈🌺🐚🐓,Bretmanrock X get into it 🌈🌺🐚🐓,2025-05-13T19:12:31Z,PT36S,hd,2d,false,True,26247,1379,0,16,public
IB337nvnwo4,My new mural by !! Aloha 🏝️✨🌈 also Happy AAPI EVERYONE !! Make sure you support local artist,My new mural by !! Aloha 🏝️✨🌈 also Happy AAPI EVERYONE !! Make sure you support local artist,2025-05-12T23:39:01Z,PT49S,hd,2d,false,True,26377,1116,0,16,public
iivN3d5lOJ0,New Mural done by the talented @punkyaloha 🏝️🌈💚 ALSO happy AAPI month !! make sure we are always,"New Mural done by the talented @punkyaloha 🏝️🌈💚 ALSO happy AAPI month !! make sure we are always supporting one another !!! ✨ esp our local artist !! 

Shar I loooved you for sooo many years! And I will always cherish this art forever!! I literally can’t move now, bc I want these garage doors forever !!🥺🥰 Mahalo nui !! @punkyaloha",2025-05-12T22:39:50Z,PT49S,hd,2d,false,True,120441,4690,0,29,public
3ZtAOKfL_Oc,Well……… how big is it ? 😏🤪 New episode of Radio with my mannssss,Well……… how big is it ? 😏🤪 New episode of Radio with my mannssss,2025-05-12T19:15:33Z,PT52S,hd,2d,false,True,23323,736,0,9,public
dg1OWl_FQGo,Dabaddest x 🌈🌺🐚🐥 Get Into it! Which one is your favorite case ???,Dabaddest x 🌈🌺🐚🐥 Get Into it! Which one is your favorite case ???,2025-05-12T19:12:30Z,PT36S,hd,2d,false,True,182092,14246,0,79,public
YHJttAf7mBw,Let’s Harvest da Baddest Bananas 🍌🍌🍌🍌🍌🍌,Let’s Harvest da Baddest Bananas 🍌🍌🍌🍌🍌🍌,2025-05-11T19:10:30Z,PT1M18S,hd,2d,false,True,396448,19391,0,114,public
-zs3ot3AkZ8,Wellll… how big is it ? 🤪❤️ new episode of out now 🫣 I know yall have been waiting for this one,Wellll… how big is it ? 🤪❤️ new episode of out now 🫣 I know yall have been waiting for this one with 🥰✨ be nice he’s really shyyy 🥺,2025-05-11T19:03:28Z,PT52S,hd,2d,false,True,150430,4159,0,35,public
P6TVhypUqa0,Philippines and Thailand SOLO Trip,"Please give it a thumbs up and share this video! If you don't I'll never vlog again. 
------------------------------------------------------------------------------
- KEEP IN TOUCH - 

Website | BretmanRock.com
Instagram | @Bretmanrock - http://instagram.com/bretmanrock/
Twitter | @BretmanRock - https://twitter.com/bretmanrock
Snapchat | @BretmanRock
Tumblr | bretmanrock.tumblr.com
Facebook | The Bretman Rock
TikTok | @bretmanrock

Email/Business | management@dabaddest.com",2025-05-11T18:06:58Z,PT41M9S,hd,2d,false,True,634656,30175,0,1279,public
eYcbI-sBG90,Just vibing with Cleo 🤪❤️ Love her so much,Just vibing with Cleo 🤪❤️ Love her so much,2025-05-11T05:40:18Z,PT40S,hd,2d,false,True,143669,6065,0,112,public
2Tw5MuJrUxM,Everything I ate and tried in Thailand !! 🇹🇭 everything was a 10/10 no notes 🥭,Everything I ate and tried in Thailand !! 🇹🇭 everything was a 10/10 no notes 🥭,2025-04-30T06:45:55Z,PT1M57S,hd,2d,false,True,312696,18101,0,120,public
w5xf4cEaS1k,this is the coolest video of me ever ! 😎🏝️ Dabaddest x @blkcosmeticsph ☀️ Da FRESH collection 💋,this is the coolest video of me ever ! 😎🏝️ Dabaddest x @blkcosmeticsph ☀️ Da FRESH collection 💋,2025-04-24T21:45:17Z,PT1M,hd,2d,false,True,193250,17586,0,305,public
3avlJL_XuPw,Mood,Mood,2025-04-22T19:42:06Z,PT14S,hd,2d,false,True,58400,2833,0,40,public
QgXY9uR3h-Y,Let’s try some Sumo Citrus 🍊 I’ve never had these before but I will be going back for more,Let’s try some Sumo Citrus 🍊 I’ve never had these before but I will be going back for more,2025-04-19T00:41:34Z,PT1M46S,hd,2d,false,True,130440,6652,0,78,public
OtwfkE-tfe4,Let’s eat some guavas !! 🏝️,Let’s eat some guavas !! 🏝️,2025-04-17T20:40:24Z,PT2M2S,hd,2d,false,True,317826,18781,0,223,public
3koSV2lDowA,Chella Day 2 !! Yuh 😘,Chella Day 2 !! Yuh 😘,2025-04-14T01:39:20Z,PT1M50S,hd,2d,false,True,120732,5574,0,72,public
B3xHDu4bxDA,Bretney Spears and Justice Timberlake fantasy 💙 with #guesspartner,Bretney Spears and Justice Timberlake fantasy 💙 with #guesspartner,2025-04-14T01:39:20Z,PT16S,hd,2d,false,True,76702,2431,0,26,public
eimbUxzLzCw,Bretney (@guessjeans) Spears and Justice Timberlake fantasy 💙🤠,Bretney (@guessjeans) Spears and Justice Timberlake fantasy 💙🤠,2025-04-14T01:38:36Z,PT15S,hd,2d,false,True,73711,1911,0,15,public
Mjv9IsqVc4g,You don’t gotta GUESS my underwear… it’s always 💚 #GUESSJEANSpartner,You don’t gotta GUESS my underwear… it’s always 💚 #GUESSJEANSpartner,2025-04-13T04:38:23Z,PT23S,hd,2d,false,True,59915,1774,0,10,public
gacD5VktVl0,Da ab challenge ❤️🤪#GUESSJEANSPartner,Da ab challenge ❤️🤪#GUESSJEANSPartner,2025-04-11T22:39:33Z,PT1M40S,hd,2d,false,True,59308,3002,0,33,public
i319k_O3hLY,We played WHO KNOWS ME BEST🤪Boyfriend vs,We played WHO KNOWS ME BEST🤪Boyfriend vs. Assistant vs Sister ! 🧡❤️🩵 full episode is on @dabaddestradio,2025-04-03T21:35:33Z,PT47S,hd,2d,false,True,222596,5042,0,49,public
3mMf7KEwMIk,This song is stuck in my chickens and I head lol,,2025-03-11T18:37:35Z,PT8S,hd,2d,false,True,1420818,102826,0,462,public
642C62L6ZrE,The baddest glambot ever….,,2025-03-04T05:06:49Z,PT13S,hd,2d,false,True,366330,27426,0,333,public
F2dJwcgl6TM,Living my Moana fantasy,,2025-02-28T21:14:52Z,PT22S,hd,2d,false,True,907112,85483,0,629,public
2laco2RQ81Y,"Hair Care Routine and Products + Life Updates, First video in 2 years hehe","Please give it a thumbs up and share this video!  Or I wont make another one again for 2 years

Products Mentioned 

AwaPuhi Shampoo and Conditioner
https://amzn.to/3yfwkZL
https://amzn.to/3wGXRCF

Cecred Clarifying Shampoo
https://shorturl.at/dxGN9

Creamsilk conditioner
I make my mom get me this from the Philippines but you can also get them at Filipino stores like Seafood City

Ouia Anti Dandruff Shampoo
https://amzn.to/3UFjJX2

Amika Soulfood Hair Mask
https://amzn.to/3wmFpzj

Ouia Fine to Medium hair mask
https://amzn.to/3wmFu65

Tea Tree Scalp Scrub
https://amzn.to/3UCpUeG

K18 Hair Oil
https://amzn.to/4dBaGPC

JVN Pre Wash oil
https://amzn.to/3yo91g4

Multi Collagen Peptide
https://amzn.to/3WC5zbK

Sea Moss Gummys
https://shorturl.at/akxzB

Silk Hair Tie
https://amzn.to/4aiE1M3

Fave Hair Sticks
https://amzn.to/3yo99w4
https://amzn.to/3yo8uuy

Products not listed are either discontinued or I literally can’t find a link 

- KEEP IN TOUCH - 

Website | BretmanRock.com
Instagram | @Bretmanrock - http://instagram.com/bretmanrock/
Twitter | @BretmanRock - https://twitter.com/bretmanrock
Facebook | The Bretman Rock
TikTok | @bretmanrock

Email/Business | management@dabaddest.com",2024-05-13T17:05:38Z,PT24M59S,hd,2d,false,False,732760,41157,0,1512,public
kNJ9kNMoDk0,I'm Dropping Merch!,"Sometimes it's hard for me to express my chaotic ideas, and Ms.  @AdobeExpress  (beta) just helps me so much! I'm so excited for you guys to see the final merch! It's my fave yet!
#ExpressDrop #AdobePartner 
adobe.ly/expressbetadrop (http://adobe.lyexpressbetadrop)

Use #ExpressDrop to share your own passion project and I'll repost my favorite to my Instagram story!
----------------------------------------------------------------------------------------------------------------
Website | BretmanRock.com
Instagram | @Bretmanrock - http://instagram.com/bretmanrock/
Twitter | @BretmanRock - https://twitter.com/bretmanrock
Snapchat | @BretmanRock
Tumblr | bretmanrock.tumblr.com
Facebook | The Bretman Rock
TikTok | @bretmanrock

Email/Business | management@dabaddest.com",2023-06-15T02:43:21Z,PT57S,hd,2d,false,True,287958,14056,0,0,public
P6nup-x1FhA,*NEW* Room Tour yuh,"Start your Curology journey today at https://curolo.gy/bretmanyoutube. 
Subscription required, subject to consultation. #Curologypartner 
Please give it a thumbs up and share this video! 
------------------------------------------------------------------------------
- AFFILIATION/DISCOUNT CODES -

Morphe - 10% off entire purchase
https://www.morphebrushes.com
Code: BretmanRock

Ofra Cosmetics
Code: BretmanRock
Ofracosmetics.com 

Nubounsom Lashes - 20% entire purchase
https://www.nubounsom.com
Code: Bretman 

Lilly Lashes - 10% off entire Purchase
https://www.lillylashes.com
Code: Bretman

White With Style - $28 for any whitening kits
https://www.whitewithstyle.com

LAGirlUsa.com
Code: BretmanRock10 for 10% off
_____________________

- KEEP IN TOUCH - 

Website | BretmanRock.com
Instagram | @Bretmanrock - http://instagram.com/bretmanrock/
Twitter | @BretmanRock - https://twitter.com/bretmanrock
Snapchat | @BretmanRock
Tumblr | bretmanrock.tumblr.com
Facebook | The Bretman Rock
TikTok | @bretmanrock

Email/Business | management@dabaddest.com",2022-12-28T19:32:00Z,PT16M26S,hd,2d,false,True,1547239,57196,0,1218,public
yrTzOqFRlms,PAINTING with Jack Soren and BretmanRock,"Please give it a thumbs up and share this video! 
------------------------------------------------------------------------------
- AFFILIATION/DISCOUNT CODES -

Morphe - 10% off entire purchase
https://www.morphebrushes.com
Code: BretmanRock

Ofra Cosmetics
Code: BretmanRock
Ofracosmetics.com 

Nubounsom Lashes - 20% entire purchase
https://www.nubounsom.com
Code: Bretman 

Lilly Lashes - 10% off entire Purchase
https://www.lillylashes.com
Code: Bretman

White With Style - $28 for any whitening kits
https://www.whitewithstyle.com

LAGirlUsa.com
Code: BretmanRock10 for 10% off
_____________________

- KEEP IN TOUCH - 

Website | BretmanRock.com
Instagram | @Bretmanrock - http://instagram.com/bretmanrock/
Twitter | @BretmanRock - https://twitter.com/bretmanrock
Snapchat | @BretmanRock
Tumblr | bretmanrock.tumblr.com
Facebook | The Bretman Rock
TikTok | @bretmanrock

Email/Business | management@dabaddest.com",2022-10-26T22:41:18Z,PT21M40S,hd,2d,false,True,305904,12532,0,385,public
PQwMWHE_mig,#PinkVenomChallenge #ad,#pinkvenomchallenge #ad,2022-08-29T22:31:22Z,PT16S,hd,2d,false,True,2611779,120209,0,1790,public
