video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
fYE1QOaBi84,"#ad Damage Detective Desi, reporting for duty at the ​⁠OGX Beauty pop-up🕵🏽‍♀️🔍  #DamageDetected",,2025-04-21T20:38:24Z,PT43S,hd,2d,false,True,10380,201,0,7,public
JklCrtD99Vg,#AD She’s a damage detective… Filmed w/ @OGXBeauty229 for their #BondProteinRepair line! #OGXPartner,,2025-04-16T01:03:31Z,PT29S,hd,2d,false,True,13697,237,0,9,public
WwZmA-iW0xQ,"Girl talk! Pregnancy, Postpartum & Labor w/ Jamie Genevieve","Here's What Every Pregnant Woman Must Know About Postpartum & Labor. 

I got to catch up with Jamie when she was in LA, and there was no better way to spend it than with a little gossip and In and Out. If you haven't watched the @jamiegenevieve video click here after: https://www.youtube.com/watch?v=4TxeuvtLHH4

Jamie's Socials
VIEVE: http://www.vieve.co.uk
SUBSCRIBE:  @jamiegenevieve 
INSTAGRAM: http://www.instagram.com/jamiegenevieve
TIKTOK: https://www.tiktok.com/@jamiegenevieve-

@DesiPerkins 
DEZI Eyewear: https://dezi.co/
DEZI Skin: https://deziskin.com/

-

✗ CAMERA GEAR USED ✗
Main Vlog Cam (A7SII): https://amzn.to/2KrsIJo
Main Vlog Lens (Sony FE 24-70mm): https://amzn.to/2tLaNmF
Little Vlog Cam (G7X Mark II): https://amzn.to/2tG27Pb
Photo Cam (CANON 5DIV): http://amzn.to/2wqLndg
Drone Shots (DJI MAVIC): http://bit.ly/2kXMwb4
GOPRO7: https://amzn.to/2Z2tAHz

-

🎧 Music Used 🎧
Youtube Safe Royalty-Free Music
http://share.epidemicsound.com/DesiPerkins

-

DISCLAIMER: This video was not sponsored. The description may contain affiliate links, which means that if you click on one of the product links and make a purchase, I may receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for your support!

#desiperkins #postpartum #jamiegenevieve",2023-04-01T17:15:01Z,PT46M5S,hd,2d,false,True,172753,5635,0,257,public
b9CZjqJmByk,How My Makeup Routine Has Changed | DESI PERKINS,"If you’ve been with me from the start, you know my routine has changed with the years. She’s a mom now. But one thing has stayed the same - the @NARSissist #RadiantCreamyConcealer. With a luxurious texture and luminous finish, it brightens, corrects, and perfects with buildable, medium-to-full coverage for 24-hour hydration. Available in 30 global shades. #NARSpartner

Find your perfect shade of @NARSissist #RadiantCreamyConcealer 
CLICK HERE: https://bit.ly/3H89CDs

-

Like and Subscribe ➡️ http://bit.ly/desiperkins

✗ CAMERA GEAR USED ✗
Main Vlog Cam (A7SII): https://amzn.to/2KrsIJo
Main Vlog Lens (Sony FE 24-70mm): https://amzn.to/2tLaNmF
Little Vlog Cam (G7X Mark II): https://amzn.to/2tG27Pb
Photo Cam (CANON 5DIV): http://amzn.to/2wqLndg
Drone Shots (DJI MAVIC): http://bit.ly/2kXMwb4
GOPRO7: https://amzn.to/2Z2tAHz

-

🎧 Music Used 🎧
Youtube Safe Royalty-Free Music
http://share.epidemicsound.com/DesiPerkins

-

DISCLAIMER: This video is sponsored by NARS. The description may contain affiliate links, which means that if you click on one of the product links and make a purchase, I may receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for your support!",2023-02-15T20:30:06Z,PT13M30S,hd,2d,false,True,301889,14036,0,628,public
wv1yUz0hxNA,My First Makeup Tutorial in 2 Years | DESI PERKINS,"Can you believe it's been 2 Years since I uploaded a makeup tutorial? I hope you enjoy this tutorial and let me know in the comments what you want to see next. Like and Subscribe ➡️ http://bit.ly/desiperkins

Interview with E!￼ and Katyhttps://www.eonline.com/news/1363273/how-desi-perkins-and-katy-degroot-became-youtubes-most-enviable-bffs 
-

DEZI Skin - CLARO QUE C -Vitamin C Glow Serum
http://bit.ly/3XITyOZ

DEZI Skin - AGUA FRESCA - Thirst Quenching Gel-Crème Moisturizer 
http://bit.ly/3K4UeuP

Tarte - Shape Tape Full Coverage Concealer
https://bit.ly/3xibqVN

Fenty Beauty by RihannaSun Stalk'r Instant Warmth Bronzer
Color: Private Island - light to medium with warm undertones
https://bit.ly/3HTK79r

DOSE OF COLORS Desi X Katy Friendcation Eyeshadow Palette
https://doseofcolors.com

Charlotte Tilbury
The Super Nudes Duo Liner
Nude/Brown
https://bit.ly/3IiU41A

MAKEUP BY MARIOSurrealSkin™ Liquid Foundation
Color: 13W - medium with warm undertone
https://bit.ly/3jMSfAE

NARS Creamy Concealer in Ginger
https://bit.ly/2L4Xzgh

Rare beauty Blush in Hope 
https://bit.ly/3jUJ1lQ

Translucent Setting Powder
https://kyliecosmetics.com/en-us/kylie-cosmetics/products/translucent-setting-powder-kc409

Kimchi PUFF PUFF PASS SET & BAKE POWDER - 03 TRANSLUCENT
https://kimchichicbeauty.com/products/ppp-03-translucent


Charlet Tilbery Airbrush Flawless Finish Setting Powder
Number 3 and 1
https://bit.ly/3xhxwYE

Lunar Beauty MOON PRISM BLUSH 
https://lunarbeauty.com/products/moon-prism-blush-palette-1?variant=32100341678173

Shayla Icing On The Cake Lip Trio
https://doseofcolors.com/products/limited-edition-icing-on-the-cake-lip-trio

DEZI SKIN DEW ME OVER 30ML TRAVEL SIZE FACE MIST
https://bit.ly/40RKvOa

-

Amazon Store Front: https://www.amazon.com/shop/desiperkins

💰EBATES How I Get Money back when I Shop Online: In order to get Cash Back you have to shop through Ebates website 
http://ebates.com/desiperkins

✗ CAMERA GEAR USED ✗
Main Vlog Cam (A7SII): https://amzn.to/2KrsIJo
Main Vlog Lens (Sony FE 24-70mm): https://amzn.to/2tLaNmF
Little Vlog Cam (G7X Mark II): https://amzn.to/2tG27Pb
Photo Cam (CANON 5DIV): http://amzn.to/2wqLndg
Drone Shots (DJI MAVIC): http://bit.ly/2kXMwb4
GOPRO7: https://amzn.to/2Z2tAHz

-

🎧 Music Used 🎧
Youtube Safe Royalty-Free Music
http://share.epidemicsound.com/DesiPerkins

-

DISCLAIMER: This video was not sponsored. The description may contain affiliate links, which means that if you click on one of the product links and make a purchase, I may receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for your support!",2023-02-13T20:54:09Z,PT17M34S,hd,2d,true,True,182738,10336,0,613,public
pH9dgngxXVI,Making My Come Back on Youtube - Ask Me Anything | Desi Perkins,"Welcome back to my channel and let me just tell you how good it feels to say that.  I felt like a Q and A would be the perfect way to come back.

Like and Subscribe ➡️ http://bit.ly/desiperkins

💰EBATES How I Get Money back when I Shop Online: In order to get Cash Back you have to shop through Ebates website 
http://ebates.com/desiperkins

❤️ Questions: ❤️

How is your breast feeding journey going

Does Ocean ever throw a tantrum 

How do you keep up sexy time with 2 kids and running a business

Where have you been Loca, do you miss YouTube, the good ole days 

What’s the one thing you miss before having kids. We know motherhood is hard

When did you start using flashcards with Ocean.

How does it feel to be a mother of 2? 

Is Harley an IVF baby? 

What’s the more difficult brand to own, and more of an expense?

Can you film more day in the life tick-tock videos

Are you going to teach Ocean Spanish?

How is it being a beauty influencer and a mom? 

Any funny nicknames Ocean and Harley have?

Where is Harley’s pregnancy journey video? 

How do you stray away from comparing yourself to others?

Do you plan on having more kids?

Do you think its to late to become a content creator?

Did you suffer postpartum depression after your pregnancy?

What’s Harley’s personality?

Is motherhood what. You thought it would be?

Is there anyone you would love to colab with for DEZI?

What's your favorite shampoo for hair growth?

How do you envision yourself in the social media space as a mom of 2?

Do you have nose filler?

How do you maintain friendships with a busy schedule?

Is there anything other than shades you have for the DEZI brand? 

Do you experience anxiety?

-

✗ CAMERA GEAR USED ✗ 
Camera Used (CANON 5DIV): http://amzn.to/2wqLndg

-

🎧 Music Used 🎧
Youtube Safe Royalty-Free Music
http://share.epidemicsound.com/DesiPerkins

-

DISCLAIMER: This video was not sponsored. The description may contain affiliate links, which means that if you click on one of the product links and make a purchase, I may receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for your support!

#desiperkins #ama #QnA",2023-02-08T19:59:02Z,PT27M34S,hd,2d,true,True,347642,17703,0,1032,public
GosTB_e1PCY,A GOOD OLD FASHIONED FAVORITES VIDEO,"Welcome back! I thought it was time for an old fashioned favorites video. No specific topic just what I am currently loving. Thank you to #NEIWAI for sponsoring this video! Their bras are made from an innovative CloudFit fabric that conforms to nearly anyone size A to DD! 

Get 20% off your first #NEIWAI order with code ""Desi""
https://neiwai.us/desi 

The  #BarelyZero is so comfortable and stretchy, it hugs your body how ever you grow or move. I loved them through my pregnancy and continue to wear them now! 

Learn more about NEIWAI's #BarelyZero #YourSizeIsTheSize line: https://neiwai.us/3ztu2Sp  

❤️ PRODUCTS MENTIONED: ❤️

NEIWAI BarelyZero Bra use code ""Desi"" for 20% off
https://neiwai.us/desi 

Thirty Years - Matching Sweat Suit
https://thirtyyears.com/collections/shop

kerastase  Laque Noire Hair Spray
https://bit.ly/3onG6QQ

grow gorgeous HAIR DENSITY SERUM
https://bit.ly/3oEqA3h

Bobbi Brown All Over Glow Substitutes 

Vieve SKIN DEW
https://www.vieve.co.uk/vieve-skin-dew

Refy - GLOSS HIGHLIGHTER
https://us.refybeauty.com/collections/summer-skin/products/gloss-highlighter

NARS - AIR MATTE BLUSH / Darling
https://bit.ly/30eYPpc

LH - Sketch And Sculpt
https://lhcosmetics.com/products/infinity-power-brows-liquid-liner?_pos=3&_sid=b8e37033e&_ss=r&variant=39543580786838

pat mcgrath PermaGel Ultra Lip Pencil / Starstruck
https://www.patmcgrath.com/products/permagel-ultra-lip-pencil?variant=39346748031045

charlotte tilbury THE SUPER NUDES DUO LINER
https://www.charlottetilbury.com/us/product/super-nudes-eye-liner-duo

MORPHE X ARIEL SIGNATURE LOOK 12-PIECE FACE & EYE BRUSH SET
https://www.morphe.com/products/morphe-x-ariel-signature-look-12-piece-face-eye-brush-set

CLARO QUE C - Vitamin C Glow Serum - DEZI SKIN
https://deziskin.com/products/claro-que-c-vitamin-c-glow-serum

DEW ME OVER - Prep, Set & Refresh Continuous Mist - DEZI SKIN
https://deziskin.com/products/dew-me-over-prep-set-refresh-continuous-mist
-

🎧 Music Used 🎧
Youtube Safe Royalty-Free Music
http://share.epidemicsound.com/DesiPerkins

-

DISCLAIMER: This video is sponsored by NEIWAI. The description may contain affiliate links, which means that if you click on one of the product links and make a purchase, I may receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for your support!

#NEIWAI #BarelyZero #YourSizeIsTheSize",2021-11-11T23:46:24Z,PT24M8S,hd,2d,false,True,242875,7847,0,358,public
UceRMQw81J4,I GOT LASIK HERE IS MY EXPERIENCE VLOG,"Like and Subscribe ➡️ http://bit.ly/desiperkins

Feinerman Vision Center
https://www.instagram.com/feinermanvision
https://feinermanvision.com/

-

🎧 Music Used 🎧
Youtube Safe Royalty-Free Music
http://share.epidemicsound.com/DesiPerkins

-

DISCLAIMER: This video was not sponsored. The description may contain affiliate links, which means that if you click on one of the product links and make a purchase, I may receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for your support!

#desiperkins #lasik",2021-11-04T21:23:49Z,PT19M33S,hd,2d,false,True,177441,6499,0,387,public
UoYJWujOgr0,How I Style My  Postpartum Baby Hairs,"Welcome Back! My post postpartum baby hairs are living their best life. Here are a few of my tips and tricks to help style what I got going on. Special thanks to Dyson for sponsoring today's video! To learn more about the Dyson Supersonic and the new attachments, click here: http://www.inflcr.co/SH9Xi

Like and Subscribe ➡️ http://bit.ly/desiperkins

❤️ PRODUCTS MENTIONED: ❤️
Dyson Supersonic  - http://www.inflcr.co/SH9Xi

💰EBATES How I Get Money back when I Shop Online: In order to get Cash Back you have to shop through Ebates website  - http://ebates.com/desiperkins

-

🎧 Music Used 🎧
Youtube Safe Royalty-Free Music
http://share.epidemicsound.com/DesiPerkins

-

DISCLAIMER: This was sponsored by Dyson. The description may contain affiliate links, which means that if you click on one of the product links and make a purchase, I may receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for your support!

#DesiPerkins #PostpartumHair",2021-09-29T18:45:01Z,PT12M58S,hd,2d,false,True,189293,6205,0,254,public
XZ_gVEKJrdU,I HAVE WAY TOO MUCH MAKEUP HERE IS HOW WE ORGANIZED IT,"Ahhhhhh Hi Guys! I am back!!! I wanted to give you a tour of my new backdrop in the studio. Ría Safford of RíOrganize and her team came to the rescue to help me organize my makeup collection.

RíOrganize on IG:
https://www.instagram.com/riorganize/

❤️ PRODUCTS MENTIONED: ❤️
All products used and more organizational style are listed here:
https://www.riorganize.com/blog/rorganized-desi-perkins-makeup-room

Like and Subscribe ➡️ http://bit.ly/desiperkins

💰EBATES How I Get Money back when I Shop Online: In order to get Cash Back you have to shop through Ebates website 
http://ebates.com/desiperkins

-

🎧 Music Used 🎧
Youtube Safe Royalty-Free Music
http://share.epidemicsound.com/DesiPerkins

-

DISCLAIMER: This video was not sponsored. The description may contain affiliate links, which means that if you click on one of the product links and make a purchase, I may receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for your support!

I HAVE WAY TOO MUCH MAKEUP HERE IS HOW WE ORGANIZED IT

#desiperkins #makeupcollection  #RíOrganize",2021-09-17T18:57:57Z,PT32M21S,hd,2d,false,True,333201,11117,0,452,public
