video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
zL9l5TcSHyI,New cheek tint shine from ​⁠@ArmaniBeauty  🌸 @Sephora  #armanibeautypartner,,2025-05-10T02:03:16Z,PT23S,hd,2d,false,True,13534,416,0,14,public
qjGCyNfkAt8,my go-to makeup lately 🪽#makeup,,2025-04-26T14:01:24Z,PT41S,hd,2d,false,True,144883,7976,0,61,public
0gAX13RoLAw,how to *actually* cover under eye bags 🪄 #makeuptips,,2025-04-18T14:00:02Z,PT23S,hd,2d,false,True,195183,6612,0,36,public
iCDATfG2zmY,Huda Beauty liquid blush shade guide 🎀 #makeup #blush,,2025-02-18T15:01:00Z,PT17S,hd,2d,false,True,115520,3205,0,21,public
h2SAnA88mKE,how to *actually* contour your nose #makeuptips,#makeup #makeuphacks,2025-01-31T14:41:24Z,PT30S,hd,2d,false,True,126085,4290,0,27,public
yDggM7GBi0o,#AD How to *actually* choose your @ITCosmeticsvideo perfect CC+ shade #ItCosmeticsPartner #makeup,,2025-01-29T15:01:09Z,PT40S,hd,2d,false,True,62453,2077,0,12,public
YrPiN7Yw4XM,Huda beauty ube collection powder vs liquid blush guide 🎀,,2025-01-28T15:06:53Z,PT27S,hd,2d,false,True,67487,1647,0,10,public
hSXNPf9Z63w,Recreating my old makeup video 💓,,2025-01-23T15:13:30Z,PT19S,hd,2d,false,True,116882,5192,0,45,public
2li671wUTH0,Rhode blush 💓 which one is your fav? #makeuptips,,2025-01-22T15:44:49Z,PT17S,hd,2d,false,True,95194,2956,0,27,public
UrOFUxHIK7o,Makeup tips for neutral girlies! #makeuptips,,2025-01-21T15:00:45Z,PT38S,hd,2d,false,True,139222,7751,0,45,public
EZouaO4XR9o,No regrests #hairstyle,,2025-01-17T15:00:17Z,PT12S,hd,2d,false,True,49643,1908,0,10,public
DIySS58rOE4,Bronzer vs contour explanation 🧑‍🎨 #makeuptips,,2025-01-16T15:00:30Z,PT32S,hd,2d,false,True,67031,2631,0,25,public
yxZyXkCQlh4,Grey foundation? It’s BB cream #makeuptips,,2025-01-14T15:14:17Z,PT37S,hd,2d,false,True,62477,2002,0,29,public
so6l5Ailh-Q,Which shade is the best?,,2025-01-09T15:01:13Z,PT7S,hd,2d,false,True,39128,742,0,28,public
1i7zF4Ydoes,Rare beauty liquid blush shade guide 🎨,,2024-12-29T15:00:02Z,PT37S,hd,2d,false,True,98617,4622,0,194,public
