video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
IdRs2RYIJqg,My own version of douyin lips! ✨ #hudabeauty #lips #douyin #howto,,2025-05-19T12:20:49Z,PT24S,hd,2d,false,False,1773,91,0,3,public
emUnkXO36aQ,The queen Bella Hadid just used our Easy Bake powder in her @Vogue routine! 💖,,2025-05-18T12:01:10Z,PT22S,hd,2d,false,False,8280,362,0,6,public
z93mmLLTzDM,Come explore our new beauty counter @harrods ✨ #hudabeauty #harrods,,2025-05-17T12:01:43Z,PT24S,hd,2d,false,False,7756,334,0,5,public
LuxqkUlEn2w,Color correcting do’s and don’t #hudabeauty #makeup #howto,,2025-05-16T12:00:41Z,PT14S,hd,2d,false,False,22987,409,0,6,public
po7FW5H4BSo,Would glue your bangs down like this? 👇 IB: @DoroCubillo #hudabeauty #hairhack #hairtips #howto,,2025-05-15T12:01:25Z,PT51S,hd,2d,false,False,12886,336,0,8,public
eOnux4dBVps,Have you guys tried bottom lining lip hack? IB: @alessyafarrugia #hudabeauty #liphack #makeup,,2025-05-14T12:01:15Z,PT49S,hd,2d,false,False,14527,512,0,14,public
nAB5C5as9QY,"Blurred IRL – no filters, just the EASY ROUTINE! 🤭💖 #hudabeauty #nophotoshop #easyroutine #howto",,2025-05-13T12:01:24Z,PT39S,hd,2d,false,False,9193,283,0,8,public
0S1bV9IJm1k,Still not over our Easy Bake Setting Spray event in Paris 🥹🇫🇷 #easybakesettingspray #paris2025,,2025-04-30T06:35:28Z,PT48S,hd,2d,false,False,12675,511,0,21,public
20KdnooUUio,What’s something that totally changed your routine? 👀🫶 #hudabeauty #easybake #makeup #howto,,2025-04-16T11:53:47Z,PT7S,hd,2d,false,False,37439,586,0,37,public
5wEEp5CJxHo,#paris #hudabeautyeasybake #settingspray,,2025-04-14T11:57:34Z,PT13S,hd,2d,false,False,15061,380,0,10,public
f8B2ALPFJS0,Intense Guava is really intense 👀 🩷 #hudabeauty #blush #arabic #howto,,2025-04-10T12:01:08Z,PT22S,hd,2d,false,False,35497,983,0,31,public
8RwvZ9Va6_o,#askhuda #hudabeauty #easybake #howto,,2025-04-09T11:00:10Z,PT36S,hd,2d,false,False,21234,725,0,13,public
O6dTZ8fiuyQ,"GRWM in the city of love, oui oui! #hudabeauty #grwm #paris #makeup",,2025-04-08T12:00:39Z,PT41S,hd,2d,false,False,24749,798,0,24,public
p_skTsYWEX8,Snatched and set with ​⁠@KeviKodra ✨ #hudabeauty #settingspray #makeup #howto,,2025-04-07T12:23:14Z,PT8S,hd,2d,false,False,29688,484,0,12,public
