video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
NuS1rw-ORNo,hi! #miniature #dollhouse #lasercutting,https://velvetinyminiatures.etsy.com,2025-03-31T19:06:09Z,PT36S,hd,2d,false,True,7058,369,0,18,public
9AtJb-KEGTQ,did u know an “armoire” was originally used to store weapons & armor?,"this was so fun to make ♥️

#laser #lasercutting #dollhouse #miniature #artist",2025-01-06T16:35:39Z,PT1M,hd,2d,false,True,2193,217,0,8,public
bl3f5S_oncA,dollhouse renovation,sorry for abandoning you! here's what i've been doing with my very limited free time.,2024-12-14T01:43:25Z,PT11M17S,hd,2d,false,True,4610,527,0,72,public
7BCYjUTs3uQ,drink every time i say freckle 🥲here’s a freckle brush demonstration 🖤 she deserves it.,buy her here: https://likelymakeup.com/products/freckle-brush,2024-07-20T16:38:56Z,PT1M1S,hd,2d,false,True,14132,1284,0,29,public
K_H0wiE3gmM,#YouTubePartner #LUNCHByBillieEilish oH my god her skins so cLear ✨,brought to you by YouTube Shorts. on repeat! use the remix tool to have lunch with billie eilish 🍓,2024-05-29T21:55:06Z,PT14S,hd,2d,false,True,9966,480,0,29,public
x0fdk88LC7I,i love makeup 🚬,,2024-01-05T19:51:30Z,PT48S,hd,2d,false,True,11213,1289,0,36,public
78SpDVUGr1M,this would be my everyday look if i wasnt lazy #tradgoth #makeup #gothmakeup,,2024-01-02T04:04:51Z,PT42S,hd,2d,false,True,12466,1669,0,32,public
YhDxcgapdfA,🪒 bye brows,"👽 what should i draw on my empty eyebrow spaces? 
update: still okay with it with no makeup on but my daughter is not a fan 😂",2023-12-12T20:21:33Z,PT1M,hd,2d,false,True,7097,735,0,41,public
6ucplDBP1ZE,i cant stop listening to this song,"my everyday makeup & “the new thing dies” by ray bull 

charlotte tilbury beautiful skin foundation shade 1
hard candy white concealer
elf cosmetics contour wand
melt cosmetics honey thief blush & zaddy lipstick 
iconic london unbothered lip liner
black eyeliner, black mascara & a chunk of lash in the outer corner 👍🏻",2023-12-04T01:32:44Z,PT48S,hd,2d,false,True,10890,720,0,25,public
enmNPgh8zVg,wig try on!!!,"wigs are SO fun. which is ur fave?? 
wigs gifted by imstylewigs. tysm!

----------------------------------------------------------------------------------------------
don't forget to like & subscribe!
follow me on instagram:  https://www.instagram.com/jordidreher 
collabs & business: jordi@infagency.com 
---------------------------------------------------------------------------------------------- 

donate to p@lestine childrens relief fund
http://bit.ly/3SvZRGG

non-affiliate code ""jordi35"" for 35% off!
imstylewigs shop : https://bit.ly/47Gjkss 

links in order of try on: 

“28 inch skunk stripe dark auburn body wavy lace wig” https://bit.ly/3MRzCXc

“blonde highlighted short bob synthetic lace front wig” https://bit.ly/3QDWjiI

(earl) “26 inch ombre dark blonde body wavy lace wig” https://bit.ly/3sLYd96

“spring green & orange yellow short curly synthetic lace front wig” https://bit.ly/3G7ImF6

“30 inch black body wavy lace wig” https://bit.ly/3QEc5u8",2023-11-22T21:33:02Z,PT6M35S,hd,2d,false,True,11264,671,0,174,public
DAqC7qFlYUo,blue eyeshadow & orange eyebrows yes please / makeup tutorial,"orange & blue is maybe my favourite combo. should i dye my hair orange?
----------------------------------------------------------------------------------------------
don't forget to like & subscribe!
follow me on instagram:  https://www.instagram.com/jordidreher 
collabs & business: jordi@infagency.com 
----------------------------------------------------------------------------------------------

WIG (“JORDI” at checkout to save 10%!)
https://www.annabelleswigs.co.uk/products/ginger-pinup-wig-lace-front-lula?_pos=9&_sid=f06ceaffd&_ss=r

FACE:
charlotte tilbury magic cream
https://rstyle.me/+8l12GiBGC6HQQP2jpk6c7g

elf poreless putty primer 
https://rstyle.me/+8k88XdpJ-5FJaOF1JOSxxQ

charlotte tilbury beautiful skin foundation 3 neutral
https://rstyle.me/+rCu2v0R10Az479D7zRavaQ

kvd good apple serum foundation light 008
https://rstyle.me/+OV1NPVZZaTA1PPYv_Z-paw

pacifica concealer shade 11
https://rstyle.me/+iIwRiboaMaLvILy37rO9wg

charlottle tilbury contour wand
https://rstyle.me/+kYEl62mfGucGYdDH-XPK7A

melt cosmetics 777 face brush 
https://www.meltcosmetics.com/products/777-face?_pos=1&_sid=c7691c7dc&_ss=r

toi beauty smoothing setting powder shade 00
https://toibeauty.com/products/the-smoothing-setting-powder?variant=45330877710642

melt cosmetics sculpt stack
https://rstyle.me/+zntVmLnRmfnVQvdBQJUOFw

colourpop flexitarian highlight
https://rstyle.me/+H9FYZhlUAbjITrwwjk25sg

likely makeup fairy & clown blush palettes
https://likelymakeup.com/collections/palettes

EYES
melt halloween town & christmas town palettes
https://rstyle.me/+W8-XwDd6dvkHiZ9ZW9sWCg
https://rstyle.me/+9t_GRwH4lNxwWvQbpfTSfQ

odens eye stone & rock palette
https://bit.ly/3EKsCXR

BROWS
mehron makeup paradise palette
https://www.mehron.com/paradise-makeup-aq-30-color-palette/

LIPS
melt perfectionist lip pencil sepia
https://www.meltcosmetics.com/products/sepia-lip-pencil?_pos=1&_sid=a3b57e8f6&_ss=r

melt laced lipstick
on sale at beauty bay
https://rstyle.me/+aSl5qaDj7ce3_FMQnm1RQQ

https://www.meltcosmetics.com/products/laced

NECKLACE
https://collabs.shop/a4ov44

CONTACTS
https://www.pinkyparadise.com/products/geo-grang-grang-choco-hc-246?variant=39405592805434&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=EAIaIQobChMI6rj_pLTOggMVuhCtBh3HcwLpEAQYAiABEgJxK_D_BwE

SEPTUM
https://luarjewelry.ca/products/talaoclickerhoop?_pos=4&_sid=c1f223d9b&_ss=r

PHOTOGRAPHY LIGHTS:
https://collabs.shop/jixola

----------------------------------------------------------------------------------------------
music provided by epidemicsound.com
----------------------------------------------------------------------------------------------
this video is not sponsored. some products were gifted. i earn a small commission from the use of affiliate codes/links. thanks!",2023-11-19T18:44:18Z,PT16M11S,hd,2d,false,True,11207,991,0,96,public
