video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
04cbE0GqMVo,I ORDERED A FULL FACE OF MAKEUP FROM UBER EATS!,"In today's video, I ordered a FULL Makeup Routine from a delivery app! Uber Eats, Doordash all have makeup available, but with crazy taxes and fees, is it even possible!? Enjoy!

🎥 Previous Video » https://youtu.be/aMqEFqD33W0?si=3C1LbqQ2sdEdDdW8
🛒🎨 Shop Painted! » http://painted.co

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: https://x.com/antxoch",2025-05-02T19:00:58Z,PT24M,hd,2d,false,True,1088764,31680,0,2692,public
aMqEFqD33W0,TESTING A FULL FACE OF UNHINGED TIKTOK MAKEUP HACKS 😳,"People have been sharing their UNHINGED, INSANE Makeup Hacks all over TikTok. Diaper Rash Ointment as primer 🤮 to Hairspray to set your face... Watch as I put all of them to the test and see if any of these makeup secrets might be worth it!

🎥 Previous Video » https://youtu.be/MIR-Ktf9gno
🎨 Shop Painted! » http://painted.co

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-04-25T19:00:11Z,PT34M45S,hd,2d,false,True,1726773,46873,0,2161,public
MIR-Ktf9gno,INFLUENCERS PICK MY MAKEUP ROUTINE!,"I FaceTimed your favorite Influencers to ask them to Pick My Makeup Routine! Mikayla Noguiera, Camilla Araujo, Brooke Monk, Jaclyn Hill, Nikki Figueroa, Leah Halton & more all helped me out… watch to see the final look they chose!

🎥 Previous Video » https://youtu.be/E4hfu1MgPvA
🎨 Shop Painted! » http://painted.co
See you next week for something special………. 🌈

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-04-18T19:21:04Z,PT31M59S,hd,2d,false,True,1436330,45524,0,2328,public
E4hfu1MgPvA,$300 ROBOT MAKES YOUR PERFECT MAKEUP ROUTINE?,"This $300 Robot scans your face to create the PERFECT custom foundation color and makeup routine! This machine has been viral ALL OVER TikTok so of course I had to try it out for myself. Enjoy and don't forget to thumbs up and subscribe!

🎥 Previous Video » https://youtu.be/7jwqUgeEQUY
🎨 Shop Painted! » http://painted.co
❤️‍🩹 STREAM He Loves Me Not » https://JamesCharles.lnk.to/HeLovesMeNot

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-04-11T19:02:29Z,PT25M41S,hd,2d,false,True,1664992,50920,0,2201,public
qTrtx5FxkXk,MY MORNING ROUTINE ☀️,,2025-04-07T23:26:45Z,PT1M20S,hd,2d,false,True,1363513,46443,0,1024,public
7jwqUgeEQUY,HOW TO NOT LOOK UGLY AT PROM!,"IT'S PROM TIME! 🥳 Watch this video BEFORE you get ready for prom, graduation, wedding, or any special events! I teach you how to NOT look ugly and have the best makeup ever. 

🎥 Previous Video » https://youtu.be/_iJbS5LN_rA
🛒 USE CODE PROM FOR 15% OFF PAINTED! 
🎨 Shop Painted! » http://painted.co
❤️‍🩹 STREAM He Loves Me Not » https://JamesCharles.lnk.to/HeLovesMeNot

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-04-04T19:04:00Z,PT33M48S,hd,2d,false,True,2214038,88476,0,2124,public
hlWSkJSFtnQ,YOU WON’T BELIEVE THIS MAKEUP TRANSFORMATION 🤯❤️,,2025-04-01T20:38:50Z,PT25S,hd,2d,false,True,1098798,45370,0,510,public
_iJbS5LN_rA,FULL FACE OF MAKEUP FROM SHEGLAM!,"Today we’re trying out a full face from SHEGLAM, Shein’s makeup line! Their products are extremely viral for being cheap but great, but this video is NOT sponsored so we’ll see the truth. Enjoy and don’t forget to thumbs up and SUBSCRIBE!

🎥 Previous Video » https://youtu.be/PoJ6GBOk8j0
🎨 Shop Painted! » http://painted.co
❤️‍🩹 STREAM He Loves Me Not » https://JamesCharles.lnk.to/HeLovesMeNot

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-03-28T19:02:28Z,PT24M6S,hd,2d,false,True,2236603,68220,0,2514,public
PoJ6GBOk8j0,BILLIE EILISH  vs. TATE MCRAE BEAUTY BATTLE! 🥊,"Today we're comparing Billie Eilish's Tour Makeup vs. Tate McRae's Everyday Routine to see which celebrity singer has the better makeup routine! This is a NEW SERIES called Beauty Battle! Enjoy!

🎥 Previous Video » https://youtu.be/8ydxlyIY2yE
🎨 Shop Painted! » http://painted.co
❤️‍🩹 STREAM He Loves Me Not » https://JamesCharles.lnk.to/HeLovesMeNot

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-03-21T19:08:45Z,PT37M19S,hd,2d,false,True,1331014,41534,0,2453,public
8ydxlyIY2yE,CRASHING OUT PLAYING DRESS TO IMPRESS STYLE SHOWDOWN,"Dress To Impress on Roblox has a NEW GAMEMODE! Style Showdown is a fashion competition with challenges and rounds even HARDER than regular DTI... the crash out is real. ENJOY! 

❤️‍🩹 STREAM He Loves Me Not » https://JamesCharles.lnk.to/HeLovesMeNot
🎥 Previous Video » https://youtu.be/-UqE2sa6xV0?si=rru1Hvkuwc2GVcmD
🎨 Shop Painted! » http://painted.co

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-03-14T19:15:16Z,PT33M51S,hd,2d,false,True,1361787,39992,0,1413,public
-UqE2sa6xV0,FULL FACE UNDER $50 FROM CVS BUDGET MAKEUP CHALLENGE!,"I went to CVS and bought a FULL FACE of MAKEUP under $50 dollars budget! This was a HUGE makeup challenge but I really hope you enjoy! Don't forget to thumbs up and subscribe!

❤️‍🩹 STREAM He Loves Me Not » https://JamesCharles.lnk.to/HeLovesMeNot
🎥 Previous Video » https://youtu.be/njWkw_uFYlw
🎨 Shop Painted! » http://painted.co

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-03-07T20:00:35Z,PT19M29S,hd,2d,false,True,1694342,44655,0,1530,public
njWkw_uFYlw,5 MINUTE CRAFT MAKEUP HACKS KEEP GETTING WORSE,"Another episode of EXPOSING the WORST SCAM 5 Minute Craft Makeup Hack Videos. I hate filming these more than anything on Earth but you all love them so... enjoy.

❤️‍🩹 STREAM He Loves Me Not » https://JamesCharles.lnk.to/HeLovesMeNot
🎥 Previous Video » https://youtu.be/d2a93-ZHDV8?si=KfZdlmj0B9HdslBV
🎨 Shop Painted! » http://painted.co

💞 Social Media
Instagram » http://instagram.com/jamescharles
TikTok » http://tiktok.com/@jamescharles
Painted » http://instagram.com/painted.co
Painted » http://tiktok.com/@painted

💌 Business Inquiries » business@spinandco.com

🔥 Video Team
Creative Director: Louis Gargiula http://instagram.com/louisgargiula
Creative Assistant: Trevor Garcia http://instagram.com/igtrevor
Graphics: Michael Rusakov http://instagram.com/michael.ny
Editor: Dan Nadify http://twitter.com/nadifyy
Thumbnail: Kosta https://x.com/KostaDzn",2025-02-28T22:02:34Z,PT35M41S,hd,2d,false,True,1899424,66637,0,1931,public
