video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
O2Y_EM9C5Ww,Gold Blooded 💰 Palette & Collection Reveal! | Jeffree Star Cosmetics,"Hi, how are ya?? WELCOME BACK to my channel!! Today is surreal and so special... It's time to celebrate 10 YEARS of Jeffree Star Cosmetics. It feels like yesterday that I launched my brand with just 3 liquid lipstick shades!!!  The journey to get here has been truly incredible and this ccollection represents a decade of disrupting the industry and forever making a name in beauty history!
The ENTIRE Gold Blooded Collection LAUNCHES ON BLACK FRIDAY!!! NOV. 28TH!!! @ 9PM PST / 12AM EST

Gold Blooded Artistry Palette - $52

24 Karat Skin Frost Pro Palette - $40

Velour Liquid Lipstick - $22
6 New Shades: Iconic Behavior, Diva Forever, Disrupted, Mountain View, Star Knockout, and Redrum Remix

Liquid Star Shadow - $22
4 New Shades: Wood Queen, Fire Phoenix, 24K Only, Golden Hour

Liquid Frost - $20
3 New Shades: Frostitute, Eiffel Tower, Exotic Gold

Self Made Lip Oil - $20
Gold Blooded Ultimate Bundle - $328 // $386 Value
Includes: Gold Blooded Artistry Palette, 24 Karat Skin Frost Pro Palette, 6 New Velour Liquid Lipsticks, 4 New Liquid Star Shadows, 3 New Liquid Frost, & the Self Made Lip Oil. 

Gold Palette Bundle - $78 // $92 Value 
Includes the Gold Blooded Artistry Palette and 24 Karat Skin Frost Pro Palette 

Gold Velour Liquid Lipstick Bundle - $112 // $132 Value
All 6 New Shades: Iconic Behavior, Diva Forever, Disrupted, Mountain View, Star Knockout, and Redrum Remix

Gold Liquid Star Shadow Bundle - $75 // $88 Value
All 4 New Shades: Wood Queen, Fire Phoenix, 24K Only, Golden Hour

Gold Liquid Frost Bundle - $46 // $54 Value
3 New Shades: Frostitute, Eiffel Tower, Exotic Gold
Gold Faux Alligator Bag - $34

Gold Icon Star Hand Mirror - $34

Pink Icon Star Hand Mirror - $34

Gold Cleaver Hand Mirror - $32

Legacy Glass Tumbler - $30",2024-11-17T18:00:33Z,PT13M35S,hd,2d,true,True,628746,29974,0,2782,public
NjX_2eHz5jU,Beauty Killer 15th Anniversary Album & Makeup Reveal!!!,"HELLO... Hi, how are ya???!!! Long time no see... I've opened up the pink vault and I think it's time to make a huge announcement! I'm BACKKKKKK! 😇

There is a lot to celebrate. My iconic album Beauty Killer is turning 15 YEARS OLD this week and I'm dusting off the microphone and saying HI. Makeup artist turned Musician turned makeup mogul is combining both worlds and releasing something truly special for everyone!!! 

❤️ PRE-ORDER THE BEAUTY KILLER 15TH ANN. COLLECTION: https://jeffreestarcosmetics.com/collections/beauty-killer-15-year-anniversary

🔪 Beauty Killer 15th Anniversary LAUNCH LINE UP:

🍭 LOLLIPOP KILLER - DIGITAL EP
1. Hi, How Are Ya?
2. Red Lipstick (feat. Yelawolf)
3. Beauty Killer (Wyoming Edition)
4. Love To My Cobain (Remastered)
5. Mr. Diva (Remastered)

💄 Cosmetics:
Lollipop Killer Mini Artistry Palette - $28
Magic Candy™ Liquid Blush 'Lollipop Luxury' - $26
Velour Liquid Lipstick 'Lollipop Killer' - $22
Velour Liquid Lipstick 'Strawberry Youth' - $22

💿 Media:
Autographed - Beauty Killer 'Hot Pink' Vinyl - $25
Beauty Killer 'Icon Swirl' Vinyl - $25
Beauty Killer 15 Year Anniversary Edition CD DigiPack - $15
Lollipop Luxury (feat. Nicki Minaj) Star Vinyl Pre-Order - $25 will ship Dec 1

💕 Bundles:
Lollipop Killer Ultimate Bundle - $83 for a $98 Value
Autographed- 'Green Queen' Bundle - $53
Autographed - Killer Digi Pack Bundle - $43
Cloudy Blood Red' Killer Bundle - $69

😍 Apparel:
Lollipop Killer Pink Studded Belt - $55
Beauty Killer Anniversary Tee Light Pink & Black - $30
Beauty Killer Long Sleeve - $35
Beauty Killer Hoodie - $65
Beauty Killer Trucker Hat Pink - $35
Knife Trucker Hat Black - $35
Knife Tee Black - $30
Diva Hoodie Black - $65",2024-09-15T17:00:24Z,PT21M30S,hd,2d,false,True,631127,41325,0,4956,public
XCuQU_uUD4w,Scorpio 🦂 Palette & Collection Reveal! | Jeffree Star Cosmetics,"OH HIIIII EVERYONE... Welcome BACK to my channel! It's FINALLY time to celebrate my birthday in the proper Jeffree Star Cosmetics way!!! 🎉 Introducing the highly anticipated SCORPIO Palette and Collection! This palette has 24 uniquely stuning shades representing ALL things ME. Dipping into all y favorite memories, I created this collection to represent my journey.. I hope you love it just as much as I enjoyed creating it! There is a new lipstick formula lauching with this collection, called SHINY TRAP. Here is the FULL reveal and swatches.

🦂 The ENTIRE Scorpio Collection LAUNCHES ON my actual BDAY.. NOV. 15TH!!! @ 10AM PST / 1PM EST

🧡 Scorpio Palette - $62
⭐️ Liquid Star Eyeshadow - $20
💄 Shiny Trap Lipsticks - $20
👄 Scorpio Venom Lip Oil - $20 

🦂 Fashion & Accessories
Scorpio Hoodie – $65
Scorpio Joggers – $45
Scorpio Rectangle Makeup Bag – $30
Scorpio Yak Plushie – $30
Diva Lynn Dog Hand Mirror - $30 
Ego Death Cleaver Hand Mirror - $30
Scorpio Cleaver Hand Mirror - $30
 
Bundles:
Scorpio Ultimate Bundle – $308 ($362 value)
 
Scorpio Liquid Star Eyeshadow Bundle – $102 ($120 value)
-      Comes with all 6 new Scorpio shades
 
Scorpio Shiny Trap Lipstick Bundle – $119 ($140 value)
-      Comes with all 7 new Scorpio shades
 
Birthday Bundle – $129 ($152 value)
-      Scorpio Palette
-      Diva Hand Mirror
-      Scorpio Shiny Trap in shades Pomeranian Kiss, Scorpio and Deep Sting
 
2023 Recap Bundle – $137 ($161 value)
Includes: Gothic Beach Palette, Cotton Candy Palette, and Scorpio Palette

Song: 4URA & VinDon - AKTIV [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream:
https://us01.z.antigena.com/l/8DSu5QBknnuSUEaKgm-DGsDF9B~NwunOMNskhjQaSY-SDm16uWiFxod~Muo0tyv2i_UBDTGldf3VoQjvrcG7hjHv0MY3iEXbAj57n_XkpfV1CSJBglcGIIiAhCDNbZ8el3d9U9s_sC7UzaR 
Watch: https://us01.z.antigena.com/l/TXSpsBqhAAZpTnufLMhgYlkQ8sRB9BVioSaHijv-ENtsl67XQOFRx1nnzT6NH7p003DgZdlvBnltoX1XUyLhdEKpO9ZJQbZDDWBX8gyIbVvYeEYDAfObmkXkh~64-6hXi9nFf62WT9-I9h5rfI5uZY6Zp28oYCiM~xR3ja",2023-11-05T18:00:03Z,PT18M26S,hd,2d,true,True,1154695,46361,0,6597,public
ZbktVQyUd88,Gothic Beach 🖤 Palette & Collection Reveal! | Jeffree Star Cosmetics,"OH HIIIII EVERYONE... Welcome BACK to my channel! Long time no see. I missed everyone so much. It's been over 10 months since I've uploaded a video. Every time I release a big makeup or skincare collection, I get an overwhelming response to film LONG FORM videos like the old days.... I LISTENED! Here is the reveal and swatches of the ENTIRE Jeffree Star Cosmetics, Gothic Beach Collection!!! New formulas, new textures... and a NEW 18 pan artistry trunk!

The ENTIRE Gothic Beach Collection LAUNCHES THIS FRIDAY, September 29, 2023 @ 10AM PST / 1PM EST
 
🖤 Gothic Beach Palette - $54
🦇 Gothic Diamonds Extreme Frost Trio - $62
🌞 Gothic Beach SPF - $30
⚰️ Vampire Blur & Cool Face Stick - $24 
👁️ Beach Proof Eye Markers - $22 
🕷️ Gothic Beach Mascara - $25 
 
🕸️ Fashion & Accessories:
Gothic Fishnet Hoodie - $60
Gothic Fishnet Crop Hoodie - $50
Gothic Picnic Blanket - $45
Parasol Umbrella - $32
Gothic Black Travel Bag - $30
Gothic Purple Travel Bag - $30 
Black Diamond Hand Mirror - $30
Clear Tote Bag - $30 
Summer Death Metal Tumbler - $28 
Black Moth Towel - $20

🖤 Bundles: 
*Ultimate Gothic Beach Bundle:*  $283 value // $241
· Gothic Beach Palette
· Beach Proof Eyeliner (All 4 Shades)
· Beach Proof Mascara
· Gothic Diamonds - Extreme Frost Palette
· Vampire Blur & Cool Face Stick
· Facial SPF

Song: Sam Day - BE THE ONE [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io
Watch: http://ncs.lnk.toAT/youtube",2023-09-24T17:00:19Z,PT18M48S,hd,2d,true,True,1234368,68391,0,6574,public
wv-BbSdZkLo,Psychedelic Circus 🍄 Palette & Collection Reveal! | Jeffree Star Cosmetics,"Welcome BACK to my channel... It's SCORPIO season!!!! And it's time to unleash the next major color collection from Jeffree Star Cosmetics! Introducing the Psychedelic Circus Collection!!! 💘 Before 2022 comes to a close, we wanted to leave this year with a BANG packed full of color and extra weirdness. We have a 21 pan artistry palette with bold and shockingly pretty shades, there's a new skin care item andddd we've extended our new Liquid Star Shadow formula! Saddle up and come dive into ALL the details.

🍄 EVERYTHING LAUNCHES ON NOV. 11TH @ 10AM PST / 1PM EST!!

🎪 Psychedelic Circus Palette - $60
 
💧 Liquid Star Eyeshadow (6 Shades) - $20
Diva Galaxy
Another Realm
Groovy Dreams
Manifest
Pink Tablet
Star Vortex
Third Eye Open 

🍄 Magic Star Mushroom Mist – $28

🎡 Velour Liquid Lipsticks - $18
Bearded Lady
Circus Peanut
Clown Blood
Healing Hour
Lizard Jewel
Mindbender
Mushroom Ocean

🥶 Frozen Forest Lip Balm – $18

Bundles: 
Psychedelic Circus Ultimate Bundle - $315
Includes: Palette, Liquid Star Shadows, Liquid Lipsticks, Mushroom Mist, and Lip Balm

Trippy Kit - $38
Includes: Mushroom Mist, Lip Balm

Third Eye Bundle - $120
Includes: All Liquid Star Shadows

Altered State Bundle - $106
Includes: All Velour Liquid Lipsticks

Fashion & Accessories:
Psychedelic Travel Bag - $30 
Trippy Star Hand Mirror - $25
Psychedelic Glow Hand Mirror - $30 
Psychedelic Hand Mirror - $30 
Psychedelic Circus Bucket & Trucker Hat's – $30 each
Psychedelic Circus Neon Melt Hoodie - $60
Melt Hoodie - $45
Melt Long Sleeve – $40
Melt Joggers – $45
Trip Black Hoodie – $50
Trip Black Tee – $35
Trip Moss Hoodie - $55",2022-11-06T18:00:08Z,PT16M47S,hd,2d,true,True,2136267,60129,0,5327,public
EGQpYsgUPgY,Gucci’s $50 Blush… Is It Jeffree Star Approved?!,Gucci just launched a new blush and it’s $50… I HAD to try it out!!!!! Is it Jeffree Star Approved?! Let’s find out…,2022-10-02T19:08:12Z,PT1M,hd,2d,false,False,2740116,116596,0,2003,public
3jVZg8VWahE,Lady Gaga's NEW Foundation... Is It Jeffree Star Approved?!,"It's time for another iconic and brutal Jeffree Star Approved review! Today I'm testing out the highly anticipated Lady Gaga's new foundation from her beauty brand HAUS LABS!!!! There is finally some excitement in the makeup world when it comes to face products, and I could'n't be more excited.
BUT... Does the formula hold up to the hype? Watch and find out...

*SHOP: http://www.jeffreestarcosmetics.com 
+ FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics 
+FOLLOW ME ON IG: http://instagram.com/jeffreestar 
+FOLLOW STAR YAK RANCH: https://www.staryaks.com
+ SNAPCHAT: jeffreestar 
+ TWITTER: @jeffreestar

WATCH MORE VIDEOS...................❤️

💉 I FINALLY SOLD MY LA MANSION... SAYING GOODBYE TO LA ► https://bit.ly/3C6TW1U

💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT

💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU

🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi

Track: Paul Flint - E Welem Bah [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/EvOE1rQvnAQ
Free Download / Stream: https://ncs.io/EWelemBah",2022-09-25T18:51:07Z,PT12M47S,hd,2d,false,True,2002803,66845,0,3677,public
Vw1ZW6JufYQ,Zara Foundation & Concealer.. Is It Jeffree Star Approved?!,Is the new Zara foundation & concealer Jeffree Star Approved?! 🌝 Let’s find out..,2022-09-04T18:55:46Z,PT1M,hd,2d,false,False,1305643,55141,0,944,public
Tcn-Z_gvqT4,Star Wedding 💍 Palette & Collection Reveal! | Jeffree Star Cosmetics,"Today it's time to unleash the next era... The STAR WEDDING Collection by Jeffree Star Cosmetics!
We have done endless creative palette color stories since our brand started, so it's time to come full circle and finally GET MARRIED... the Jeffree Star way! Introducing my new 25 pan palette, new skin secure formula AND finally... liquid eyeshadows!!! Come along for the makeup journey and explore swatches and the entire Star Wedding Collection!

🤍 EVERYTHING LAUNCHES ON AUG. 26TH @ 10AM PST / 1PM EST

💍 Star Wedding Palette - $62
 
🍊 Vitamin C Skin Perfecting Serum - $52
 
💧 Liquid Star Eyeshadow (6 Shades) - $20
-      Nude Honeymoon (matte)
-      Toss My Bouquet (matte)
-      Star Wedding (matte)
-      Behind The Veil (Glitter)
-      Bachelorette Party (Glitter)
-      Favorite Frosting (Glitter)
 
💦 Wedding Proof Makeup Setting Spray - $26
⭐️ Star Wedding Blotting Paper - $10
 
💄 Velour Liquid Lipstick - $18
-      Finally
-      Pomeranian Kiss
-      Holy Matrimony
-      Tax Break
-      Down The Aisle
-      Feeling So Innocent

🤍 Fashion & Accessories:
Satin Star Wedding Robe –  $50
Diamond Hand Mirror - $30
Star Wedding LED Makeup Mirror - $98
Star Wedding Phone Selfie Light - $22
Lace Tumbler - $28
Hair Towel Wrap - $20

✨ Bundles:
Ultimate Star Wedding Bundle – $299
-      Includes: Star Wedding Palette, Vitamin C Skin Perfecting Serum, all 6 Liquid Star Eyeshadows, Wedding Proof Makeup Setting Spray, Star Wedding Blotting Paper, and all 6 new Velour Liquid Lipstick Shades.
 
Wedding Essentials Bundle – $164
-      Includes: Star Wedding Palette, Wedding Proof Makeup Setting Spray, and all 6 new Velour Liquid Lipstick shades
 
Keep it Together Bundle – $75
-      Includes: Blotting Paper, Vitamin C Skin Perfecting Serum, and Wedding Proof Makeup Setting Spray.
 
Star Wedding Velour Liquid Lipstick Bundle – $90
-      Includes one of each new shade
 
Star Wedding Liquid Eyeshadow Bundle – $99
-      Includes one of each new shade

*SHOP: http://www.jeffreestarcosmetics.com 
+ FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics 
+FOLLOW ME ON IG: http://instagram.com/jeffreestar 
+FOLLOW STAR YAK RANCH: https://www.staryaks.com
+ SNAPCHAT: jeffreestar 
+ TWITTER: @jeffreestar

WATCH MORE VIDEOS...................❤️

💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH

💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT

💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU

🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi

Near x Far - Not Enough Music provided by NoCopyrightSounds
LISTEN: https://www.youtube.com/watch?v=Phei4a-uCiQ",2022-08-21T16:53:21Z,PT23M6S,hd,2d,true,True,1878791,62334,0,5244,public
EyqwMvp09UE,I FINALLY Sold My Mansion... Moving Out of California FOREVER.,"Welcome BACK to my channel... Hi, how are ya?? Today we are officially saying GOODBYE to my mega mansion in California and packing up for good! Come along for the journey.

*SHOP: http://www.jeffreestarcosmetics.com 
+ FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics 
+FOLLOW ME ON IG: http://instagram.com/jeffreestar 
+FOLLOW STAR YAK RANCH: https://www.staryaks.com
+ SNAPCHAT: jeffreestar 
+ TWITTER: @jeffreestar

WATCH MORE VIDEOS...................❤️

💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH

💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT

💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU

🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi

Near x Far - Not Enough Music provided by NoCopyrightSounds
LISTEN: https://www.youtube.com/watch?v=Phei4a-uCiQ",2022-08-07T17:00:32Z,PT14M55S,hd,2d,false,True,1925789,60870,0,3350,public
