video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
J1cd6I47PdA,My Must Have Products for Over 40 Skin!,"Shop everything in this video here: https://shopmy.us/collections/1546977
As I get older, taking care of my skin is becoming more important, and I am always on the lookout for the best products out there. Today, I teamed up with The Body Firm and I’m excited to share some of their products.
 
Join My Facebook Beauty Chat: https://www.facebook.com/share/g/kTNgK1FesJ94u8Fx/ 

Shop The Body Firm: https://get.aspr.app/SH15t4

🌟🌟PRODUCTS: 🌟🌟

THE BODY FIRM l CREPE ERASE: https://get.aspr.app/SH15t4  
Age-Defying Body & Face Kit 
Facial Repair Treatment 
Plump & Firm Facial Treatment
Neck Repair Treatment
Skin Revitalizing Tool
Body Repair Treatment

✨COMPLEXION
FENTY BEAUTY | Eaze Drop Blurring Skin Tint - 6:
https://go.shopmy.us/p-15389009 
LAURA MERCIER | Long-Wear Tinted Moisturizer Natural Dewy SPF 30 with Hyaluronic Acid - 2C Oak: https://go.shopmy.us/p-15389658 
JANE IREDALE | PurePressed Base Mineral Foundation - Golden Glow:
https://go.shopmy.us/p-15389380 

✨CONCEALER
FENTY BEAUTY | We're Even Hydrating Longwear Waterproof Concealer - 190W: https://go.shopmy.us/p-15389036 
TOWER 28 l Swipe All-Over Hydrating Serum Concealer - 6:
https://go.shopmy.us/p-15389090 
Neutrogena Healthy Skin Radiant Cream Concealer - Bisque Light/Medium 02: https://go.shopmy.us/p-15389108 

✨ BROWS
KOSAS | Air Brow Tinted Clean Volumizing Eyebrow Gel - Honey Blonde:
https://go.shopmy.us/p-15389163 

✨BLUSH
Yves Saint Laurent l Make Me Blush 12h Blurring Liquid Blush - 44:
https://go.shopmy.us/p-15389265 
JANE IREDALE | Glow Time Blush Stick - Balmy:
https://go.shopmy.us/p-15389319 
PATRICK TA | Major Beauty Headlines Double Take Crème & Powder Blush:
https://go.shopmy.us/p-15389335 

✨ LIPS
LAURA MERCIER | Lip Glacé - 110 Macaron:
https://go.shopmy.us/p-15389589 
YVES SAINT LAURENT | Candy Glaze Lip Gloss Stick - 13 Flashing Rosé:
https://go.shopmy.us/p-15389606 
CITY BEAUTY l Plumping Lips:
https://go.shopmy.us/p-15389631 

🌟🌟MAKEUP BRUSHES 🌟🌟 (use LISAJ10 for 10% off)
BK BEAUTY | Nikki La Rose N14 Petite Precision Multitasker:
https://go.shopmy.us/p-15389643 
BK BEAUTY | 109 Mini Contoured Foundation: 
https://go.shopmy.us/p-15389674 
BK BEAUTY | Nikki La Rose N-Pro Face: 
https://go.shopmy.us/p-15389692 

🌟🌟WHAT I AM WEARING 🌟🌟
Top: https://go.shopmy.us/p-15389702 
Necklace: https://go.shopmy.us/p-15390007 
Earrings: https://go.shopmy.us/p-15389724 
Stud Earrings: https://go.shopmy.us/p-15390341 
Watch: https://go.shopmy.us/p-15389745 
Fragrance Oil: https://bit.ly/47VhqV7 
Hand Mirror: https://go.shopmy.us/p-12888124 

SHOP MY FAVORITE PRODUCTS: https://bit.ly/3JSzCEx  

FIND ALL MY DISCOUNT CODES: https://bit.ly/3utlqhk 

📩MAILING ADDRESS📩
Lisa J 
506 E Saint Elmo St., Suite A-1
Austin, TX 78745

Disclaimer: 
This video is a sponsorship with The Body Firm.  For business inquires only please: lisa@bkbeauty.com 
#thebodyfirm #TheBodyFirmPartner  @bodyfirm @crepeerase",2025-05-20T14:00:32Z,PT15M51S,hd,2d,true,True,195,23,0,0,public
Mypoz2GleOE,UPDATED and UPGRADED Brow Routine!,"🛍️ Shop everything in this video here: https://shopmy.us/collections/1579732

✨ Get ready to upgrade your brow game! In this YouTube Short, I share my updated and upgraded brow routine featuring the Ravie Beauty brow pencil in Taupe and the Kosas Airbrow in Honey Blonde. Watch how I transform bare brows into natural, defined arches using products that glide on effortlessly, build volume, and provide flexible hold. Whether you’re looking for soft, hair-like strokes or bold definition without the “angry brow” effect, this tutorial is packed with tips for achieving flawless brows. Perfect for beginners and beauty lovers alike!   

👇 PRODUCTS MENTIONED:
Ravie Beauty Easy Everyday Brow Pencil – Taupe: https://go.shopmy.us/p-16799637
Kosas Air Brow Tinted Clean Volumizing Eyebrow Gel - Honey Blonde: https://go.shopmy.us/p-16799673


👗 WHAT I'M WEARING
Top: https://go.shopmy.us/p-16799710
Stud Earrings: https://go.shopmy.us/p-16799765
Hoop Earrings: https://go.shopmy.us/p-16799691
Necklace: https://go.shopmy.us/p-16799780
Watch: https://go.shopmy.us/p-16799739
Hand Mirror: https://go.shopmy.us/p-16799755


#raviebeauty #KosasAirbrow #eyebrowtutorial  #browroutine  #cleanbeauty  #BrowPencilReview #naturalbrows  #makeupforbeginners  #browgoals  #beautyshorts",2025-05-19T13:00:43Z,PT1M1S,hd,2d,true,True,4065,261,0,7,public
eIHj4BNUYhc,A Go To Pink Lip Combo!,"🛍️ Shop everything in this video here: https://shopmy.us/collections/1478768

👇PRODUCTS & SHADES
@YSLBeautyOfficial  Rouge Pur Couture Lipstick - N44 Nude Lavalliere: 
https://go.shopmy.us/p-15483084
@Hudabeauty  Lip Contour 2.0 Automatic Matte Lip Pencil - Pinky Brown: 
https://go.shopmy.us/p-15483248
@janeiredale  Colorluxe High Impact Lip Glaze - Au Naturel: 
https://go.shopmy.us/p-15483374

👗 WHAT I'M WEARING
Dress: https://go.shopmy.us/p-15483533 (Similar Dress Option): https://go.shopmy.us/p-15485722
Hoop Earrings: https://go.shopmy.us/p-15483469
Stud Earrings: https://go.shopmy.us/p-15483498 (Similar Option): https://go.shopmy.us/p-15485616
Ring *Use Code LISAJ15 for 15% Off: https://go.shopmy.us/p-15483603

Shop more of my favorite products here: https://shopmy.us/lisajmakeup2

#makeupshorts #beautyshorts #lipcombo",2025-05-17T13:01:09Z,PT15S,hd,2d,false,True,8617,286,0,11,public
siP7ui_Au1U,Top 6 Liquid & Cream Blushes from Sephora (Tested & Reviewed!),"Shop everything in this video here: https://shopmy.us/collections/1601300 
Hi Friends! If you're searching for the best liquid and cream blushes that deliver a radiant, natural finish, this video is for you! If you are new to my channel, I'm Lisa, a former makeup artist and founder of BK Beauty brushes, and today I’m sharing my Top 6 liquid and cream blushes—from budget-friendly to luxury picks. Watch as I swatch, apply, and review each blush in real time so you can see how they truly perform on the skin. Whether you're a beginner or beauty pro, you’ll get pro tips on blending, layering, and tools to use for the most flawless finish. These blushes work beautifully for all skin types and are perfect for achieving that healthy, glowing skin look. If you love makeup reviews, tutorials, and honest beauty tips, hit subscribe and stay tuned!

Subscribe to @bkbeautybrushes YouTube channel here:  https://www.youtube.com/@bkbeautybrushes   

Join My Facebook Beauty Chat: https://www.facebook.com/share/g/kTNgK1FesJ94u8Fx/       

🌟🌟PRODUCTS: 🌟🌟

✨FOUNDATION
L'OREAL PARIS | Infallible Freshwear 24HR Liquid Foundation - 430 Ivory Buff: https://go.shopmy.us/p-17089792 

✨LIQUID BLUSHES
SAIE | Dew Blush  
Rosy: https://go.shopmy.us/p-17089534 
Sweetie: https://go.shopmy.us/p-17494477 
YVES SAINT LAURENT | Make Me Blush 12H Blurring Liquid Blush
37 Peachy Nude: https://go.shopmy.us/p-17090154 
44 Nude Lavalliere: https://go.shopmy.us/p-17090053 

✨CREAM BLUSHES
HUDA BEAUTY | Blush Filter Liquid Blush - Strawberry Cream: https://go.shopmy.us/p-17089255 
JANE IREDALE | Glow Time Blush Stick 
Balmy: https://go.shopmy.us/p-17090352 
Smolder: https://go.shopmy.us/p-17090543 
RARE BEAUTY | Soft Pinch Matte Bouncy Blush - Happy: https://go.shopmy.us/p-17089871 
WESTMAN ATELIER | Baby Cheeks Blush Stick - Petal: https://go.shopmy.us/p-17090634 

🌟🌟MAKEUP BRUSHES 🌟🌟 (use LISAJ10 for 10% off)
BK BEAUTY | 106 Round Foundation Brush: https://go.shopmy.us/p-17090781 
BK BEAUTY | 109 Mini Contoured Foundation: https://go.shopmy.us/p-17090766 
BK BEAUTY | 112 Small Angled Face: https://go.shopmy.us/p-17090812  
BK BEAUTY l 116 Small Round Complexion: https://go.shopmy.us/p-17090824 

🌟🌟WHAT I AM WEARING 🌟🌟
Top: https://go.shopmy.us/p-17094046 
Stud Earrings: https://bit.ly/idyllisajstud 
Necklace *Use Code LISAJ15 for 15% Off: 
https://go.shopmy.us/p-17094070 
Watch: https://go.shopmy.us/p-17094123  
Hand Mirror: https://go.shopmy.us/p-17494137 

SHOP MY FAVORITE PRODUCTS: https://bit.ly/3JSzCEx  

FIND ALL MY DISCOUNT CODES: https://bit.ly/3utlqhk 

📩MAILING ADDRESS📩
Lisa J 
506 E Saint Elmo St., Suite A-1
Austin, TX 78745

Disclaimer: 
This video is not a sponsorship.  For business inquires only please: lisa@bkbeauty.com

TIMESTAMPS
00:00 - Intro
00:35 - Huda Beauty
03:38 - Saie Beauty
05:45 - Rare Beauty
08:15 - YSL Beauty
13:09  - Jane Iredale
15:20 - Westman Atelier

#beautyreview  #blushtutorial  #makeupover40 #beautyover40",2025-05-16T13:01:42Z,PT18M47S,hd,2d,true,True,17411,986,0,79,public
DdVXmn03-OA,How to Use Tinted Moisturizer the RIGHT way!,"🛍️ Shop everything this video here: https://shopmy.us/collections/1529322

✨ Wondering how to apply tinted moisturizer the right way—and whether it can replace your regular moisturizer? In this Short, I break down exactly how to use tinted moisturizer for flawless, hydrated skin, plus my top tips for layering it with other products like serums and concealer. Featuring my two go-to picks— @LauraMercierCosmetics  Tinted Moisturizer Dewy SPF 30 and NARS  @NARSCosmeticsofficial Tinted Moisturizer SPF 30—you’ll learn how to get the perfect natural glow, whether you’re going for a no-makeup look or using it under foundation. Perfect for dry skin, everyday wear, and minimal makeup routines!

👇 PRODUCTS MENTIONED:
LAURA MERCIER | Tinted Moisturizer Natural Dewy SPF 30 with Hyaluronic Acid - 2C Oak: https://go.shopmy.us/p-16137635
NARS | Pure Radiant Tinted Moisturizer SPF 30: https://go.shopmy.us/p-16137574
Top I'm Wearing in Video: https://go.shopmy.us/p-16137666

Shop more of my favorite products here: https://shopmy.us/lisajmakeup2


#tintedmoisturizer   #skincareroutine #beautytips #beautyshorts #skincaremakeup  #lauramercier  #nars  #makeuptips  #SPFMakeup",2025-05-15T14:00:20Z,PT1M1S,hd,2d,true,True,7273,475,0,10,public
8kT4MdSdAw0,A Makeup Travel Bag for Makeup Lovers!,"🛍️ Shop everything in this video here: https://shopmy.us/collections/1569403
Calling all makeup lovers and travel junkies! In this video, I’m kicking off a makeup bag series with a deep dive into the @leatherologyofficial Small Train Case —a luxury, buttery-soft leather travel makeup bag that fits way more than you'd expect. I’ll walk you through the pros, cons, what fits inside, and why this might just be your next favorite beauty organizer. Whether you're packing SPF, full-size foundations, bronzers, or all your lip products, this case delivers on space and style. Is it worth the price? Watch to find out! 

👇PRODUCTS MENTIONED:
LEATHEROLOGY l Small Train Case: https://go.shopmy.us/p-16663867

👜 WHAT'S INSIDE MY BAG: 
ISDIN | Eryfotona Ageless Ultralight Tinted Mineral Sunscreen SPF 50+: https://go.shopmy.us/p-16664062
NARS | Pure Radiant Tinted Moisturizer SPF 30 - Mykonos: 
https://go.shopmy.us/p-16664276
HAUS LABS | Triclone Skin Tech Medium Coverage Foundation with Fermented Arnica - 280: https://go.shopmy.us/p-16664045
JANE IREDALE | PurePressed Base Mineral Foundation - Golden Glow: 
https://go.shopmy.us/p-16663963
PATRICK TA | Major Sculpt Creme Contour & Powder Bronzer Duo - She's Bronzed: https://go.shopmy.us/p-16663987
Poo~pourri Wanderlust On-The-Go 3 Pack Before-You-Go Toilet Spray Travel Size Set: https://go.shopmy.us/p-16664123
FENTY BEAUTY | Gloss Bomb Stix High-Shine Gloss Stick: 
https://go.shopmy.us/p-16664175
NARS | Explicit Refillable Satin Lipstick - 828 Adulterous: 
https://go.shopmy.us/p-16664391
BK BEAUTY l Lash Curler: https://go.shopmy.us/p-16664134
MERIT BEAUTY | Solo Shadow Cream-to-Powder Soft Matte Eyeshadow - Vachetta: https://go.shopmy.us/p-16664357
CHARLOTTE TILBURY | Airbrush Flawless Finish Brightening Powder: 
https://go.shopmy.us/p-16664318

👗 WHAT I'M WEARING
Top: https://go.shopmy.us/p-16663883
Hoop Earrings: https://go.shopmy.us/p-16663898
Watch: https://go.shopmy.us/p-16664010


#travelmakeupbag #makeupbagview #makeupshorts #travelmakeup #giftideas 
#makeupbag   #makeuporganization  #Leatherology #beautylovers  #makeupstorage  #beautyshorts  #makeupessentials  #MakeupBagReview #giftideas",2025-05-14T14:00:13Z,PT1M54S,hd,2d,true,True,11247,634,0,24,public
zEIm15yWQpU,Skin‑Like & Ageless: My Top Tricks for Seamless Foundation Over 40,"Shop everything in this video here: https://shopmy.us/collections/1546977 
Hi Friends! Today we’re diving deep into all things skin and complexion – I’m showing you exactly how to achieve that flawless, skin-like finish using foundation, concealer, and all your fave complexion products. 

I’m so excited for this one because I’ve been keeping a big secret for over a year… and now I finally get to share it with you:
Introducing the NEW Jane Iredale Skintuition SPF 30 Radiance-Boosting Liquid Foundation! 

This foundation is a total game-changer – radiant, lightweight, and it feels just like skin. I’ll be showing you my application tips, what products pair perfectly with it, and why this launch is so special to me.

Shop Jane Iredale: https://go.shopmy.us/p-16616658

Shop everything in this video here: https://shopmy.us/collections/1546977 

Subscribe to @bkbeautybrushes YouTube channel here:  https://www.youtube.com/@bkbeautybrushes   

Join My Facebook Beauty Chat: https://www.facebook.com/share/g/kTNgK1FesJ94u8Fx/ 

🌟🌟PRODUCTS: 🌟🌟

✨SKIN PREP
DERMAFLASH | DERMAFLASH LUXE+: https://go.shopmy.us/p-16361852 
JANE IREDALE | BeautyPrep Hyaluronic Serum: https://go.shopmy.us/p-16558351 
JANE IREDALE | BeautyPrep Face Moisturizer - Full Size: https://go.shopmy.us/p-16361754 
LA ROCHE-POSAY | Hyalu B5 Pure Hyaluronic Acid Serum: https://go.shopmy.us/p-16558261 
PCA SKIN | Hyaluronic Acid Boosting Serum: https://go.shopmy.us/p-16361676 
SCHICK | Hydro Silk Touch-Up Exfoliating Dermaplaning Tool, Eyebrow/facial Razor: https://go.shopmy.us/p-17834988

✨COMPLEXION
JANE IREDALE | Skintuition SPF 30 Radiance-Boosting Liquid Foundation - 36 Light Medium: https://go.shopmy.us/p-16601548 
SARAH CREAL BEAUTY | Face Flex Concealer & Complexion Enhancer - 3.0 Light Neutral: https://go.shopmy.us/p-16362176 
Neutrogena Healthy Skin Radiant Cream Concealer - Bisque Light/Medium 02: https://go.shopmy.us/p-16558777 

✨BLUSH
JANE IREDALE | Glow Time Blush Stick - Balmy: https://go.shopmy.us/p-16362268 
JANE IREDALE | PurePressed Blush - Barely Rose: https://go.shopmy.us/p-16362314 

✨BRONZER
JANE IREDALE | Glow Time Bronzer Stick - Light: https://go.shopmy.us/p-16362427 
PATRICK TA | Major Sculpt Creme Contour & Powder Bronzer Duo -  She's Bronzed: https://go.shopmy.us/p-16362350 

✨POWDER
HUDA BEAUTY | Easy Bake Loose Baking & Setting Powder: https://go.shopmy.us/p-16362097 

✨HIGHLIGHTER
SAIE | Glowy Super Gel - Starglow: https://go.shopmy.us/p-16362507 

✨SETTING SPRAY
JANE IREDALE | Pommisst Hydration Spray: https://go.shopmy.us/p-16362545 
CHARLOTTE TILBURY | Airbrush Flawless Setting Spray: https://go.shopmy.us/p-16362805 

Shop more of my favorite products here: https://shopmy.us/lisajmakeup2 

🌟🌟MAKEUP BRUSHES 🌟🌟 (use LISAJ10 for 10% off)
BK BEAUTY | 106 Round Foundation Brush: https://go.shopmy.us/p-16559372 
BK BEAUTY | Angie Hot & Flashy A506 Concealer: https://go.shopmy.us/p-16559394 
BK BEAUTY | Nikki La Rose N14 Petite Precision Multitasker: https://go.shopmy.us/p-16559411 
BK BEAUTY | Nikki La Rose N-Pro Face: https://go.shopmy.us/p-16559429 
BK BEAUTY | Nikki La Rose N15 Precision Medium Powder: https://go.shopmy.us/p-16559453 

🌟🌟WHAT I AM WEARING 🌟🌟
Top: https://go.shopmy.us/p-16559773 
Earrings: https://go.shopmy.us/p-16559470 
Stud Earrings: https://go.shopmy.us/p-16559701 
Necklace: https://go.shopmy.us/p-16559628 
Watch: https://go.shopmy.us/p-16559589 
Hand Mirror: https://go.shopmy.us/p-12888124 

SHOP MY FAVORITE PRODUCTS: https://bit.ly/3JSzCEx  

FIND ALL MY DISCOUNT CODES: https://bit.ly/3utlqhk 

📩MAILING ADDRESS📩
Lisa J 
506 E Saint Elmo St., Suite A-1
Austin, TX 78745

Disclaimer: 
This video is a sponsorship with Jane Iredale.  For business inquires only please: lisa@bkbeauty.com ​ @janeiredale  #janeiredalepartner ​ 

TIMESTAMPS
00:00 - Intro
01:56 - Dermaplaning 
03:35 - Skin Prep
06:59 - SPF
07:27 - Foundation
10:43 - Recap: Choosing The Right Foundation
12:14 - Choosing The Right Concealer
14:40 - Choosing The Right Powder
18:06 - Mixing Cream & Powders
18:40 - Bronzer
19:55 - Blush
21:20 - Recap
21:32 - Highlighter
24:20 - Setting Spray",2025-05-12T13:01:43Z,PT27M15S,hd,2d,true,True,23949,1273,0,68,public
0JMyhoGz-yw,ESTEE LAUDER NEW DOUBLE WEAR CONCEALER REVIEW,"🛍️ Shop everything in this video here: https://shopmy.us/collections/1603993

NEW @EsteeLauder  Double Wear Concealer Review!   
Wondering if the new Estée Lauder Double Wear Stay-in-Place 24-Hour Concealer is worth the $38 price tag? In this short review, I test it out in shade 3.5C and share my honest thoughts on coverage, finish, and wear—especially under the eyes. This longwear concealer claims to be full coverage, lightweight, oil-controlling and hydrating—but how does it actually perform on real skin? Whether you’re dealing with dryness, fine lines, or want a flawless look that lasts, this quick breakdown is for you. Perfect for makeup lovers, skincare-first users, and anyone shopping for a new concealer in 2025!

👇 PRODUCTS MENTIONED:
Estée Lauder Double Wear Stay-in-Place 24-Hour Longwear Concealer - 3.5C: https://go.shopmy.us/p-17123832
BK BEAUTY | Angie Hot & Flashy A506 Concealer: 
https://go.shopmy.us/p-17124021


👗WHAT I'M WEARING
Top: https://go.shopmy.us/p-17123955
Necklace *Use Code LISAJ15 for 15% Off: 
https://go.shopmy.us/p-17123965
Watch: https://go.shopmy.us/p-17123990



#EsteeLauderConcealer #DoubleWearConcealer #makeupshorts  #bkbeauty #concealerreview  #fullcoverageconcealer  #makeuptips  #makeupformatureskin  #newmakeupreleases",2025-05-11T14:00:03Z,PT1M19S,hd,2d,false,True,11813,571,0,15,public
Jwpsxrikvk4,THE FOUNDATION FOR SKIN-LIKE FLAWLESS SKIN! Mature Skin Approved!,"🛍️ Shop everything in this video here: https://shopmy.us/collections/1570302

✨ Flawless, skin-like foundation that lasts all day? Yes, please! In this Short, I’m sharing why the @hauslabs Triclone Skin Tech Foundation is one of my absolute favorites—and it's mature skin approved! With lightweight, radiant coverage that never looks cakey or greasy, this foundation gives your skin a natural glow while concealing imperfections. I demo application with the @bkbeautybrushes 106 brush and show a full side-by-side so you can see the difference for yourself. Ideal for all skin types—dry, oily, or combo—this is the perfect foundation for anyone who wants real-skin results with long-wear comfort.

👇PRODUCTS MENTIONED: 
HAUS LABS | Triclone Skin Tech Medium Coverage Foundation with Fermented  Arnica - 210: https://go.shopmy.us/p-16675506
BK BEAUTY | 106 Round Foundation Brush: https://go.shopmy.us/p-16675540


#flawlessfoundation  #MatureSkinMakeup #makeupover40 #makeupover50  #HouseLabsFoundation #beautytips  #foundationroutine  #makeupshorts  #makeupreview  #cleanbeauty",2025-05-10T14:00:35Z,PT54S,hd,2d,true,True,16648,747,0,32,public
CSl5rYbRIFo,I TESTED Sephora's BEST RATED Tinted SPFs on over 40 Skin!,"Shop everything in this video here: https://shopmy.us/collections/1352701 
✨ Looking for the best tinted SPF for everyday wear? In today’s video, I’m testing 9 of Sephora’s top-rated tinted moisturizers with SPF. Whether you want a sheer glow, medium coverage, or SPF 50 protection, I break down the texture, finish, coverage, and wear of each formula—plus show you how they apply on bare skin in natural light. Perfect for sensitive skin, mature skin, or anyone wanting a no-makeup makeup look, this video will help you find the right tinted sunscreen that doubles as skincare. 

I’m Lisa, a former pro makeup artist and founder of BK Beauty brushes. I love sharing honest makeup reviews, beauty tips, tutorials, and how-to videos to help you feel confident in your routine. If that sounds like your thing, don’t forget to subscribe! 

Subscribe to @bkbeautybrushes YouTube channel here:  https://www.youtube.com/@bkbeautybrushes   

Join My Facebook Beauty Chat: https://www.facebook.com/share/g/kTNgK1FesJ94u8Fx/    

RELATED VIDEOS:
Tested and Approved??! New Makeup, Is it Worth The Hype?? https://youtu.be/2_dUCEPWJy4
Testing New Makeup Launches! Are they Worth it? https://youtu.be/TRmry9YVceA

🌟🌟PRODUCTS: 🌟🌟

1. TOWER 28 | SunnyDays Tinted SPF 30 Sunscreen Foundation: 
https://go.shopmy.us/p-14067474 
2. SUPERGOOP! | Protec(tint) Daily SPF Tint SPF 50 Sunscreen Skin Tint with Ectoin - 24N: https://go.shopmy.us/p-14065905 
3. CIELE | Tint & Protect SPF 50+ Tinted Serum Foundation: 
https://go.shopmy.us/p-17118146 
4. DR. JART+ | Premium BB Tinted Moisturizer with Niacinamide and SPF 40 -  Light Medium: https://go.shopmy.us/p-14064580 
5. IRIS & ROMEO | Best Skin Days Skincare + Dewy Coverage Broad Spectrum SPF 30 - 5 Light Medium: https://go.shopmy.us/p-14064750 
6. NARS | Pure Radiant Tinted Moisturizer SPF 30 - Mykonos: 
https://go.shopmy.us/p-17118682 
7. IRIS&ROMEO | Weekend Skin SPF 50 + Vitamin C + Glow - Universal Warm Glow: https://go.shopmy.us/p-14065167 
8. LAURA MERCIER | Long-Wear Tinted Moisturizer Natural Dewy SPF 30 with Hyaluronic Acid - 2C Oak: https://go.shopmy.us/p-17697953
9. ISDIN | Eryfotona Ageless Ultralight Tinted Mineral Sunscreen SPF 50+: 
https://go.shopmy.us/p-17118876 
JANE IREDALE | PurePressed Base Mineral Foundation - Golden Glow: 
https://go.shopmy.us/p-17581437 
DIOR | Backstage Face & Body Foundation: 
https://go.shopmy.us/p-17581556 

SHOP MY FAVORITE PRODUCTS: https://bit.ly/3JSzCEx  

FIND ALL MY DISCOUNT CODES: https://bit.ly/3utlqhk 

📩MAILING ADDRESS📩
Lisa J 
506 E Saint Elmo St., Suite A-1
Austin, TX 78745

Disclaimer: 
This video is not a sponsorship.  For business inquires only please: lisa@bkbeauty.com

#tintedmoisturizer #tintedsunscreen #beautyreview #tintedspf",2025-05-09T13:00:22Z,PT21M52S,hd,2d,true,True,32756,1486,0,116,public
