video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
9apfqvQOxUA,Testing NEW overhyped makeup launches! why is everything breaking...,"hey yallll whos ready for a testing new makeup video?!? we have sooo many new goodies here to test out from new urban decay to tir tir to covergirl to one size we got it all from drugstore to high end honey! but lowkey why did multiple things break during the video tho? kinda messy tbh 
hope you guys like! 

#makeup #drugstore #highend 

CHECK OUT THE FOOL COVERAGE PODCAST w/ LAURA LEE  - https://www.youtube.com/channel/UCKlJLwZV472zWlO9eQv4RGg
dont forget to rate and sub and review PLEASE :D 

Text Me - +1 310-356-0082
Lunar Beauty - Lunarbeauty.com 
SNAPCHAT - Mannymua
TIK TOK - https://www.tiktok.com/@mannymua733
If you wanna join the Mannyac family... Subscribe to my Channel here - http://goo.gl/fLSvRP 
Instagram - http://instagram.com/mannymua733
Twitter - https://twitter.com/MannyMua733 
REGISTER TO VOTE - https://www.whenweallvote.org/mannymua/

----------------------------------------------------------------------------------------------------------------

AFFILIATES! 
I SERIOUSLY appreciate it so much when you guys use my codes and links :D means a lot to me guys. Thank you for always supporting me! 

colourpop cosmetics -  use code MANNYMUA to save 10$ off everything - https://colourpop.com/

Morphe Brushes - use code ""MANNYMUA"" all caps for 10% off everything! - http://morphebrushes.com/index.php

TARTE cosmetics - use code “MANNYMUA” to save 15% off Tarte! - https://tartecosmetics.com

Jouer - Use code MANNYMUA to save 15% off - https://www.jouercosmetics.com

Ofra x MannyMua Lipsticks - ofracosmetics.com/mannyxofra 
Use code Mannymua to save you 30% off entire site! :D

Artist Couture - Use code MANNYMUA to save 15% off! - http://www.artistcouture.com

Nubounsom Lashes - use code ""MANNYMUA"" for 20% off! - http://nubounsom.com

Lilly Lashes - use code ""MANNYMUA"" for %10 off! - https://lillylashes.com/

----------------------------------------------------------------------------------------------------------------

Music - NoCopyRightSounds as always! They're amazing! Check them out - https://www.youtube.com/user/NoCopyrightSounds

Sad Money 
https://soundcloud.com/sadmoneymusic
--------------------------------------------------------------------------------------------
Disclaimer: All opinions in today’s video are my own! I will always state when a video is sponsored and I’ve partnered with a brand. I do earn a small commission when my code and some links are used. Thank you for the support!  

See you in my next video!  new makeup releases   judging new makeup releases new makeup releases 2023 cvs walgreens new drugstore amazon worth the hype milk makeup abh anastasia Beverly Hills",2025-05-10T20:21:12Z,PT24M53S,hd,2d,false,True,98222,4218,0,177,public
QnAk5JFzPqM,I spent $500 on NEW TjMaxx Makeup... major wins and losses LOL,"hey yall! whos ready to go shopping!! a lil manny out in the field action! we went to tjmaxx and spent $500 to find some major wins and MAJOR losses hahaha my nose was destroyed yall have to see! hope you enjoy this video!! who likes the shopping vibes?

#tjmaxx #marshalls #drugstore 

CHECK OUT THE FOOL COVERAGE PODCAST w/ LAURA LEE  - https://www.youtube.com/channel/UCKlJLwZV472zWlO9eQv4RGg
dont forget to rate and sub and review PLEASE :D 

Text Me - +1 310-356-0082
Lunar Beauty - Lunarbeauty.com 
SNAPCHAT - Mannymua
TIK TOK - https://www.tiktok.com/@mannymua733
If you wanna join the Mannyac family... Subscribe to my Channel here - http://goo.gl/fLSvRP 
Instagram - http://instagram.com/mannymua733
Twitter - https://twitter.com/MannyMua733 
REGISTER TO VOTE - https://www.whenweallvote.org/mannymua/

----------------------------------------------------------------------------------------------------------------

AFFILIATES! 
I SERIOUSLY appreciate it so much when you guys use my codes and links :D means a lot to me guys. Thank you for always supporting me! 

colourpop cosmetics -  use code MANNYMUA to save 10$ off everything - https://colourpop.com/

Morphe Brushes - use code ""MANNYMUA"" all caps for 10% off everything! - http://morphebrushes.com/index.php

TARTE cosmetics - use code “MANNYMUA” to save 15% off Tarte! - https://tartecosmetics.com

Jouer - Use code MANNYMUA to save 15% off - https://www.jouercosmetics.com

Ofra x MannyMua Lipsticks - ofracosmetics.com/mannyxofra 
Use code Mannymua to save you 30% off entire site! :D

Artist Couture - Use code MANNYMUA to save 15% off! - http://www.artistcouture.com

Nubounsom Lashes - use code ""MANNYMUA"" for 20% off! - http://nubounsom.com

Lilly Lashes - use code ""MANNYMUA"" for %10 off! - https://lillylashes.com/

----------------------------------------------------------------------------------------------------------------

Music - NoCopyRightSounds as always! They're amazing! Check them out - https://www.youtube.com/user/NoCopyrightSounds

Sad Money 
https://soundcloud.com/sadmoneymusic
--------------------------------------------------------------------------------------------
Disclaimer: All opinions in today’s video are my own! I will always state when a video is sponsored and I’ve partnered with a brand. I do earn a small commission when my code and some links are used. Thank you for the support!  

See you in my next video!  new makeup releases   judging new makeup releases new makeup releases 2023 cvs walgreens new drugstore amazon worth the hype milk makeup abh anastasia Beverly Hills",2025-04-23T22:27:15Z,PT23M3S,hd,2d,false,True,119052,4703,0,199,public
rnFxbQyVUN4,I may or may not wanna kiss you Miguel,,2025-04-17T18:52:31Z,PT6S,hd,2d,false,True,29517,621,0,17,public
HXvd4bVvbY0,My BRUTALLY Honest Review of Mikayla Nogueira skincare line: Point of View,"hey yall! whos ready for a good ole brutally honest review! today we have the new skincare line by mikayla nogueira called point of view and its marketed as a skincare prep line you wear before makeup and its a fulllll routine! 5 whole skus so were gonna try it all and were gonna do a wear test with makeup and see how it holds up! hope you enjoy!

CHECK OUT THE FOOL COVERAGE PODCAST w/ LAURA LEE  - https://www.youtube.com/channel/UCKlJLwZV472zWlO9eQv4RGg
dont forget to rate and sub and review PLEASE :D 

Text Me - +1 310-356-0082
Lunar Beauty - Lunarbeauty.com 
SNAPCHAT - Mannymua
TIK TOK - https://www.tiktok.com/@mannymua733
If you wanna join the Mannyac family... Subscribe to my Channel here - http://goo.gl/fLSvRP 
Instagram - http://instagram.com/mannymua733
Twitter - https://twitter.com/MannyMua733 
REGISTER TO VOTE - https://www.whenweallvote.org/mannymua/

----------------------------------------------------------------------------------------------------------------

AFFILIATES! 
I SERIOUSLY appreciate it so much when you guys use my codes and links :D means a lot to me guys. Thank you for always supporting me! 

colourpop cosmetics -  use code MANNYMUA to save 10$ off everything - https://colourpop.com/

Morphe Brushes - use code ""MANNYMUA"" all caps for 10% off everything! - http://morphebrushes.com/index.php

TARTE cosmetics - use code “MANNYMUA” to save 15% off Tarte! - https://tartecosmetics.com

Jouer - Use code MANNYMUA to save 15% off - https://www.jouercosmetics.com

Ofra x MannyMua Lipsticks - ofracosmetics.com/mannyxofra 
Use code Mannymua to save you 30% off entire site! :D

Artist Couture - Use code MANNYMUA to save 15% off! - http://www.artistcouture.com

Nubounsom Lashes - use code ""MANNYMUA"" for 20% off! - http://nubounsom.com

Lilly Lashes - use code ""MANNYMUA"" for %10 off! - https://lillylashes.com/

----------------------------------------------------------------------------------------------------------------

Music - NoCopyRightSounds as always! They're amazing! Check them out - https://www.youtube.com/user/NoCopyrightSounds

Sad Money 
https://soundcloud.com/sadmoneymusic
--------------------------------------------------------------------------------------------
Disclaimer: All opinions in today’s video are my own! I will always state when a video is sponsored and I’ve partnered with a brand. I do earn a small commission when my code and some links are used. Thank you for the support!  

See you in my next video!  new makeup releases   judging new makeup releases new makeup releases 2023 cvs walgreens new drugstore amazon worth the hype milk makeup abh anastasia Beverly Hills",2025-04-06T18:29:08Z,PT21M16S,hd,2d,false,True,73346,3643,0,348,public
fil5AUi_CYI,I spent $300 on the viral (AT HOME) foundation maker! is it a gimmick?,"hey yalllll! whos ready for a new video! yes we are back sooooon honey with a video about the new viral foundation maker! I spent about $300 on this bad boy with shipping so I had high hopes but I was SO skeptical! felt too good to be true... but was it!? lets find out! 

#makeup #review #foundation 

Boldhue foundation customizer - https://www.boldhue.com/products/boldhue-starter-kit

CHECK OUT THE FOOL COVERAGE PODCAST w/ LAURA LEE  - https://www.youtube.com/channel/UCKlJLwZV472zWlO9eQv4RGg
dont forget to rate and sub and review PLEASE :D 

Text Me - +1 310-356-0082
Lunar Beauty - Lunarbeauty.com 
SNAPCHAT - Mannymua
TIK TOK - https://www.tiktok.com/@mannymua733
If you wanna join the Mannyac family... Subscribe to my Channel here - http://goo.gl/fLSvRP 
Instagram - http://instagram.com/mannymua733
Twitter - https://twitter.com/MannyMua733 
REGISTER TO VOTE - https://www.whenweallvote.org/mannymua/

----------------------------------------------------------------------------------------------------------------

AFFILIATES! 
I SERIOUSLY appreciate it so much when you guys use my codes and links :D means a lot to me guys. Thank you for always supporting me! 

colourpop cosmetics -  use code MANNYMUA to save 10$ off everything - https://colourpop.com/

Morphe Brushes - use code ""MANNYMUA"" all caps for 10% off everything! - http://morphebrushes.com/index.php

TARTE cosmetics - use code “MANNYMUA” to save 15% off Tarte! - https://tartecosmetics.com

Jouer - Use code MANNYMUA to save 15% off - https://www.jouercosmetics.com

Ofra x MannyMua Lipsticks - ofracosmetics.com/mannyxofra 
Use code Mannymua to save you 30% off entire site! :D

Artist Couture - Use code MANNYMUA to save 15% off! - http://www.artistcouture.com

Nubounsom Lashes - use code ""MANNYMUA"" for 20% off! - http://nubounsom.com

Lilly Lashes - use code ""MANNYMUA"" for %10 off! - https://lillylashes.com/

----------------------------------------------------------------------------------------------------------------

Music - NoCopyRightSounds as always! They're amazing! Check them out - https://www.youtube.com/user/NoCopyrightSounds

Sad Money 
https://soundcloud.com/sadmoneymusic
--------------------------------------------------------------------------------------------
Disclaimer: All opinions in today’s video are my own! I will always state when a video is sponsored and I’ve partnered with a brand. I do earn a small commission when my code and some links are used. Thank you for the support!  

See you in my next video!  new makeup releases   judging new makeup releases new makeup releases 2023 cvs walgreens new drugstore amazon worth the hype milk makeup abh anastasia Beverly Hills",2025-03-27T21:47:59Z,PT15M9S,hd,2d,false,True,77656,3856,0,168,public
MIsuts-Hp2A,Testing NEW overhyped makeup launches! but whats actually good?,"hey yall!!! SHES BACKKKKK! whos ready to test some new over hyped makeup?! we have some new goodies and im soooo excited! we have some new stuff from laneiege, makeup forever, anastasia beverly hills, new givenchy products and of course some new milk! hope you guys enjoy :D 

#makeup #drugstore #newmakeup 

CHECK OUT THE FOOL COVERAGE PODCAST w/ LAURA LEE  - https://www.youtube.com/channel/UCKlJLwZV472zWlO9eQv4RGg
dont forget to rate and sub and review PLEASE :D 

Text Me - +1 310-356-0082
Lunar Beauty - Lunarbeauty.com 
SNAPCHAT - Mannymua
TIK TOK - https://www.tiktok.com/@mannymua733
If you wanna join the Mannyac family... Subscribe to my Channel here - http://goo.gl/fLSvRP 
Instagram - http://instagram.com/mannymua733
Twitter - https://twitter.com/MannyMua733 
REGISTER TO VOTE - https://www.whenweallvote.org/mannymua/

----------------------------------------------------------------------------------------------------------------

AFFILIATES! 
I SERIOUSLY appreciate it so much when you guys use my codes and links :D means a lot to me guys. Thank you for always supporting me! 

colourpop cosmetics -  use code MANNYMUA to save 10$ off everything - https://colourpop.com/

Morphe Brushes - use code ""MANNYMUA"" all caps for 10% off everything! - http://morphebrushes.com/index.php

TARTE cosmetics - use code “MANNYMUA” to save 15% off Tarte! - https://tartecosmetics.com

Jouer - Use code MANNYMUA to save 15% off - https://www.jouercosmetics.com

Ofra x MannyMua Lipsticks - ofracosmetics.com/mannyxofra 
Use code Mannymua to save you 30% off entire site! :D

Artist Couture - Use code MANNYMUA to save 15% off! - http://www.artistcouture.com

Nubounsom Lashes - use code ""MANNYMUA"" for 20% off! - http://nubounsom.com

Lilly Lashes - use code ""MANNYMUA"" for %10 off! - https://lillylashes.com/

----------------------------------------------------------------------------------------------------------------

Music - NoCopyRightSounds as always! They're amazing! Check them out - https://www.youtube.com/user/NoCopyrightSounds

Sad Money 
https://soundcloud.com/sadmoneymusic
--------------------------------------------------------------------------------------------
Disclaimer: All opinions in today’s video are my own! I will always state when a video is sponsored and I’ve partnered with a brand. I do earn a small commission when my code and some links are used. Thank you for the support!  

See you in my next video!  new makeup releases   judging new makeup releases new makeup releases 2023 cvs walgreens new drugstore amazon worth the hype milk makeup abh anastasia Beverly Hills",2025-03-20T20:05:52Z,PT25M33S,hd,2d,false,True,102424,4500,0,218,public
_zKi-m3YxzE,#NYXCosmeticsPartner @NYXCosmetics Lip I.V. Hydrating Gloss Stain swatches!,#NYXCosmeticsPartner @nyxcosmetics Lip I.V. Hydrating Gloss Stain swatches!,2025-03-14T18:48:11Z,PT57S,hd,2d,false,True,9773,525,0,14,public
Bc0PCVNGFiA,a CLASSIC Drugstore Makeup Favorites! 2018 Beauty is shaking! (you need these),"YALL 2018 beauty / makeup community is shaking! we are doing a classic favorites video of all drugstore makeup I literally cannot put down! these are the trueeee tea and things I genuinely think you guys would love! I mean look at the glam at the end hello?!?!
hope you guys like it! 
 
#makeup #drugstore #favorites 

CHECK OUT THE FOOL COVERAGE PODCAST w/ LAURA LEE  - https://www.youtube.com/channel/UCKlJLwZV472zWlO9eQv4RGg
dont forget to rate and sub and review PLEASE :D 

Text Me - +1 310-356-0082
Lunar Beauty - Lunarbeauty.com 
SNAPCHAT - Mannymua
TIK TOK - https://www.tiktok.com/@mannymua733
If you wanna join the Mannyac family... Subscribe to my Channel here - http://goo.gl/fLSvRP 
Instagram - http://instagram.com/mannymua733
Twitter - https://twitter.com/MannyMua733 
REGISTER TO VOTE - https://www.whenweallvote.org/mannymua/

----------------------------------------------------------------------------------------------------------------

AFFILIATES! 
I SERIOUSLY appreciate it so much when you guys use my codes and links :D means a lot to me guys. Thank you for always supporting me! 

colourpop cosmetics -  use code MANNYMUA to save 10$ off everything - https://colourpop.com/

Morphe Brushes - use code ""MANNYMUA"" all caps for 10% off everything! - http://morphebrushes.com/index.php

TARTE cosmetics - use code “MANNYMUA” to save 15% off Tarte! - https://tartecosmetics.com

Jouer - Use code MANNYMUA to save 15% off - https://www.jouercosmetics.com

Ofra x MannyMua Lipsticks - ofracosmetics.com/mannyxofra 
Use code Mannymua to save you 30% off entire site! :D

Artist Couture - Use code MANNYMUA to save 15% off! - http://www.artistcouture.com

Nubounsom Lashes - use code ""MANNYMUA"" for 20% off! - http://nubounsom.com

Lilly Lashes - use code ""MANNYMUA"" for %10 off! - https://lillylashes.com/

----------------------------------------------------------------------------------------------------------------

Music - NoCopyRightSounds as always! They're amazing! Check them out - https://www.youtube.com/user/NoCopyrightSounds

Sad Money 
https://soundcloud.com/sadmoneymusic
--------------------------------------------------------------------------------------------
Disclaimer: All opinions in today’s video are my own! I will always state when a video is sponsored and I’ve partnered with a brand. I do earn a small commission when my code and some links are used. Thank you for the support!  

See you in my next video!",2025-02-27T22:29:01Z,PT30M21S,hd,2d,false,True,110674,4559,0,233,public
cbV2aSWyews,NYX Cosmetics we see you on innovation with the Lip I.V. Gloss Stain! #NYXCosmeticsPartner,"Hydrating, Glossy and a Stain?! ​⁠@nyxcosmetics  we see you on innovation with the Lip I.V. Gloss Stain! Also, 16 shades?! We aren’t playing games in 2025!!! #NYXCosmeticsPartner",2025-02-26T19:04:09Z,PT1M10S,hd,2d,false,True,13176,807,0,22,public
hc_Sddcc6V8,I tested all the NEW E.L.F Makeup Launches! what’s worth the money? 2025,"heyyyy yalllll whos ready for a full face testing all the new 2025 elf makeup launches?! elf is just out here constantly slaying the children but we doooo have a few flops up in here... any guesses which products it is from the thumbnail? had so much fun finding out what was worth the coin and money and what wasnt! 

#makeup #drugstore #elf #elfcosmetics 

CHECK OUT THE FOOL COVERAGE PODCAST w/ LAURA LEE  - https://www.youtube.com/channel/UCKlJLwZV472zWlO9eQv4RGg
dont forget to rate and sub and review PLEASE :D 

Text Me - +1 310-356-0082
Lunar Beauty - Lunarbeauty.com 
SNAPCHAT - Mannymua
TIK TOK - https://www.tiktok.com/@mannymua733
If you wanna join the Mannyac family... Subscribe to my Channel here - http://goo.gl/fLSvRP 
Instagram - http://instagram.com/mannymua733
Twitter - https://twitter.com/MannyMua733 
REGISTER TO VOTE - https://www.whenweallvote.org/mannymua/

----------------------------------------------------------------------------------------------------------------

AFFILIATES! 
I SERIOUSLY appreciate it so much when you guys use my codes and links :D means a lot to me guys. Thank you for always supporting me! 

colourpop cosmetics -  use code MANNYMUA to save 10$ off everything - https://colourpop.com/

Morphe Brushes - use code ""MANNYMUA"" all caps for 10% off everything! - http://morphebrushes.com/index.php

TARTE cosmetics - use code “MANNYMUA” to save 15% off Tarte! - https://tartecosmetics.com

Jouer - Use code MANNYMUA to save 15% off - https://www.jouercosmetics.com

Ofra x MannyMua Lipsticks - ofracosmetics.com/mannyxofra 
Use code Mannymua to save you 30% off entire site! :D

Artist Couture - Use code MANNYMUA to save 15% off! - http://www.artistcouture.com

Nubounsom Lashes - use code ""MANNYMUA"" for 20% off! - http://nubounsom.com

Lilly Lashes - use code ""MANNYMUA"" for %10 off! - https://lillylashes.com/

----------------------------------------------------------------------------------------------------------------

Music - NoCopyRightSounds as always! They're amazing! Check them out - https://www.youtube.com/user/NoCopyrightSounds

Sad Money 
https://soundcloud.com/sadmoneymusic
--------------------------------------------------------------------------------------------
Disclaimer: All opinions in today’s video are my own! I will always state when a video is sponsored and I’ve partnered with a brand. I do earn a small commission when my code and some links are used. Thank you for the support!  

See you in my next video!",2025-02-13T21:11:25Z,PT19M8S,hd,2d,false,True,112465,5457,0,296,public
