video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
nXYE-kZCsGk,5 Habits That Keep Me Thriving as a CEO (Powder Melt Campaign BTS) | PatrickStarrr,"In this video, I’m sharing the 5 habits that help me thrive as a CEO—from waking up at 5AM to leading a team with purpose and launching our newest editorial shoot for Powder Melt.

You'll get an inside look at what really goes into building a brand—from personal growth to business strategy to creative execution.

Whether you’re a creative, an entrepreneur, or someone chasing your own goals, I hope this inspires you to lead with intention.

What’s your #1 daily habit that keeps you going? Let me know in the comments.

Shop Powder Melt: https://bit.ly/42S7U5m

xoxo
PatrickStarrr

--------------------------------------------------
Connect with me on Social Media!!!

https://patrickstarrr.komi.io/

I N S T A G R A M 
http://instagram.com/patrickstarrr/

T W I T T E R 
https://twitter.com/patrickstarrr

F A C E B O O K
https://www.facebook.com/THEEPATRICKSTARRR

T I K T O K
PATRICKSTARRR

S N A P C H A T 
PSTARRRsnaps

MAIL ME STUFF!
PatrickStarrr
2355 Westwood Blvd.
430 
Los Angeles, CA 90064-2109

------AMAZON FAVS-------
https://www.amazon.com/shop/patrickstarrr

------COUPON CODES-------

MORPHE BRUSHES | 10% OFF
Use Code: PSTARRR
*Make sure you use ALL CAPS*
http://bit.ly/2sIehJC 

LILLY LASHES | 10% OFF
Use Code: PSTARRR
http://bit.ly/2S3ssDT 


LISTEN TO MY MUSIC!
GOT THE GLAM
https://spoti.fi/2Z0zpH8

DON’T
https://spoti.fi/2MaR1Lr

GO OFF 
https://open.spotify.com/track/5n89VhKeZXO9Z0f24fzt0c?si=zXQ0psrQQMmn_kOO4q_T9A",2025-05-18T16:01:13Z,PT10M59S,hd,2d,false,True,2019,149,0,13,public
KxX_ae-MGBY,🗽🏙️Day in the life as the founder of #onesizebeauty !#vlog #comewithme #nyc #dayinthelife #onesize,,2025-05-17T00:00:20Z,PT1M5S,hd,2d,false,True,4078,324,0,5,public
mqkne8OtwUE,He's the bestttt ✨#fashion #style #plussize #outfit #ootd #fashioninspo #fyp,,2025-05-16T22:01:02Z,PT46S,hd,2d,false,True,7845,258,0,4,public
Tyhg1esLUrg,My skin has never felt like this before 🥹🪽 thank you Shani!  #esthetician #facial  #skincare,,2025-05-16T20:31:31Z,PT45S,hd,2d,false,True,9392,390,0,4,public
CC_sp-qQ8e0,Come with me to the #beyonce Cowboy Carter concert with #OneSize #cowboycarter #beyoncé,,2025-05-16T00:00:12Z,PT35S,hd,2d,false,True,6427,218,0,7,public
_4eRBVUwX1A,#OneSize went all out with the cute Cowboy Carter themed merch 🤠😍 #beyonce #cowboycarter #vlog,,2025-05-15T20:00:21Z,PT29S,hd,2d,false,True,6851,261,0,3,public
XOav7L_LkmY,WE CLAPPIN 👏🏽👏🏽🤠 #cowboycarter #beyonce #tour #transition #onesize #onesizebeauty,,2025-05-15T18:01:22Z,PT10S,hd,2d,false,True,7067,234,0,2,public
aTTXkmb1O38,Get dressed with me for Cowboy Carter with #OneSizeBeauty and #beyonce 🤠✨#outfit #ootd #fit #gdwm,,2025-05-15T03:00:04Z,PT1M9S,hd,2d,false,True,8753,317,0,10,public
5lTXU_5saYY,GRWM for a night at the #Beyonce #CowboyCarter concert with #OneSize 🤠❤️ #concert #grwm #makeup,,2025-05-15T01:00:04Z,PT1M,hd,2d,false,True,6071,301,0,3,public
jfNxvPWSl4Y,🤳🏽passing the phone around the One/Size office at our yearbook party! ✨ #phone #funny #trend,,2025-05-14T22:00:51Z,PT49S,hd,2d,false,True,7286,239,0,1,public
KCFvXAwwnPo,"2024 was such a special year. Thank you to everyone who has supported the brand, we love you! 🫶🏽❤️",,2025-05-14T20:00:23Z,PT48S,hd,2d,false,True,5944,259,0,1,public
2k5p8lWyJfs,📚✍🏽Signing all yearbooks with H.A.G.S. #iykyk #onesize #yearbook #makeup #beauty #office #hs,,2025-05-14T18:00:08Z,PT1M2S,hd,2d,false,True,7101,528,0,1,public
nfnnDT1BgJY,GRWM to surprise One/Size with yearbooks! ✨📚 #2024 #yearbook #onesize #makeup #surprise,,2025-05-14T16:01:27Z,PT1M30S,hd,2d,false,True,3719,284,0,3,public
BcDonqJ_qsU,A  fabulous night in NYC celebrating One/Size’s NEW Powder Melt Glass Setting Spray✨Out May 19th🩷,,2025-05-13T20:00:06Z,PT24S,hd,2d,false,True,5247,145,0,2,public
dXGCR5caLAA,Ready for the Powder Melt Dinner in NYC! 💖✨ #onesizebeauty #onesize #nyc #transition,,2025-05-13T18:00:36Z,PT8S,hd,2d,false,True,10250,214,0,2,public
9G2_b6wi8QE,GRWM for One Size Beauty’s NEW Powder Melt Glass Setting Spray dinner in NYC ✨🗽Launching May 19th!,,2025-05-13T16:00:29Z,PT1M23S,hd,2d,false,True,4976,317,0,6,public
7_hCc-oTN7g,🗽Visiting Sephora in Times Square! #sephora #onesize #makeup #beauty #shorts,,2025-05-12T22:00:13Z,PT28S,hd,2d,false,True,5385,174,0,2,public
suyPqFWZzc8,Sephora decked out my hotel room 😱❤️ thank you!!! #surprise #onesizebeauty #sephora #brandtrip,,2025-05-12T20:00:40Z,PT30S,hd,2d,false,True,5019,168,0,1,public
c4QvXTCTZjg,Thank you Sephora 😭❤️ #onesizebeauty #sephora #ontildawn #surprise #NYC,,2025-05-12T18:34:16Z,PT1M3S,hd,2d,false,False,3508,321,0,8,public
wT8f0vD4SOQ,NEW! My Powder MELT Glass Setting Spray is HERE! | PatrickStarrr,"SHE’S HERE! 💦✨ Introducing the NEW Powder Melt Glass Setting Spray!

Y’ALL. I am SO excited to finally share our newest product with you—the Powder Melt Glass Setting Spray from ONE/SIZE! 😍 This isn’t your average setting spray… she MELTS your powder, sets your glam, and leaves you with that glass-skin fantasy that lasts up to 12 HOURS!

Skincare? She’s infused, baby.
Hydration? Locked and loaded.
Finish? SMOOTH. RADIANT. ICONIC.

Packed with a Ceramide Complex to keep you moisturized and Ginger Flower Water to keep you looking snatched, plump, and healthy AF. Use it before makeup, after, or even mid-day when your glam needs a little pick-me-up!

✨ Get ready to MELT. ✨
Available MAY 19th https://bit.ly/42S7U5m

xoxo
PatrickStarrr

--------------------------------------------------
Connect with me on Social Media!!!

https://patrickstarrr.komi.io/

I N S T A G R A M 
http://instagram.com/patrickstarrr/

T W I T T E R 
https://twitter.com/patrickstarrr

F A C E B O O K
https://www.facebook.com/THEEPATRICKSTARRR

T I K T O K
PATRICKSTARRR

S N A P C H A T 
PSTARRRsnaps

MAIL ME STUFF!
PatrickStarrr
2355 Westwood Blvd.
430 
Los Angeles, CA 90064-2109

------AMAZON FAVS-------
https://www.amazon.com/shop/patrickstarrr

------COUPON CODES-------

MORPHE BRUSHES | 10% OFF
Use Code: PSTARRR
*Make sure you use ALL CAPS*
http://bit.ly/2sIehJC 

LILLY LASHES | 10% OFF
Use Code: PSTARRR
http://bit.ly/2S3ssDT 


LISTEN TO MY MUSIC!
GOT THE GLAM
https://spoti.fi/2Z0zpH8

DON’T
https://spoti.fi/2MaR1Lr

GO OFF 
https://open.spotify.com/track/5n89VhKeZXO9Z0f24fzt0c?si=zXQ0psrQQMmn_kOO4q_T9A",2025-05-11T16:01:19Z,PT6M,hd,2d,false,True,329753,5552,0,72,public
ZhjXiuaoo7I,#GRWM in NYC with Sephora! ✨🏙️🗽 #makeup #beauty #sephora #nyc #newyork,,2025-05-08T19:21:22Z,PT1M29S,hd,2d,false,True,8563,538,0,16,public
C0HOOfnOZtA,Thank you IPSY and everyone for supporting and believing in #OneSizeBeauty 🫶🏽🥰,,2025-05-08T14:28:12Z,PT1M8S,hd,2d,false,True,4068,402,0,15,public
f2T1Xvtvt9Q,Thank you IPSY for honoring One/Size and thank YOU ALL for your love and support 🥰,,2025-05-08T03:49:59Z,PT55S,hd,2d,false,True,3849,198,0,4,public
M569uqVR178,Category is: RED ♥️ #fashion #ootd #red #team #onesize,,2025-05-08T01:00:18Z,PT14S,hd,2d,false,True,8251,196,0,2,public
ugAyfMeUQow,🙏🏽Thank you IPSY for awarding One/Size Best Cheek Product 2025 #ipsy #awards #makeup #beauty #vlog,,2025-05-07T23:37:14Z,PT26S,hd,2d,false,True,3686,95,0,5,public
DH5FPvgDBPc,You can’t make this up 🤣🫶🏽❤️ #onesizebeauty #onesize #makeup #settingspray,,2025-05-06T21:00:24Z,PT10S,hd,2d,false,True,30321,631,0,5,public
h2Trq2Wt-xk,Thank goodness the office is EMPTY #office #buldakramen,,2025-05-06T19:09:51Z,PT7S,hd,2d,false,True,29963,282,0,6,public
nlU87faEu3s,Influencer ➡️ Founder & CEO - building the One/Size brand behind the scenes! Full vlog on my channel,,2025-05-06T17:35:01Z,PT29S,hd,2d,false,True,4585,195,0,2,public
XstmZAljvAw,"Come With Me: CEO Morning Routine, Yearbook Surprise & Fashion LA Awards | PatrickStarrr","From glamming up in the morning, to surprising my incredible ONE/SIZE team with custom yearbooks, to strutting the red carpet at The Daily’s 9th Annual Fashion Los Angeles Awards — this vlog gives you a behind-the-scenes look into my world as a founder, CEO, and influencer.

Watch how I balance the glam, the gratitude, and the grind. More vlogs coming soon, so make sure to subscribe and turn on notifications! 

xoxo
PatrickStarrr

--------------------------------------------------
Connect with me on Social Media!!!

https://patrickstarrr.komi.io/

I N S T A G R A M 
http://instagram.com/patrickstarrr/

T W I T T E R 
https://twitter.com/patrickstarrr

F A C E B O O K
https://www.facebook.com/THEEPATRICKSTARRR

T I K T O K
PATRICKSTARRR

S N A P C H A T 
PSTARRRsnaps

MAIL ME STUFF!
PatrickStarrr
2355 Westwood Blvd.
430 
Los Angeles, CA 90064-2109

------AMAZON FAVS-------
https://www.amazon.com/shop/patrickstarrr

------COUPON CODES-------

MORPHE BRUSHES | 10% OFF
Use Code: PSTARRR
*Make sure you use ALL CAPS*
http://bit.ly/2sIehJC 

LILLY LASHES | 10% OFF
Use Code: PSTARRR
http://bit.ly/2S3ssDT 


LISTEN TO MY MUSIC!
GOT THE GLAM
https://spoti.fi/2Z0zpH8

DON’T
https://spoti.fi/2MaR1Lr

GO OFF 
https://open.spotify.com/track/5n89VhKeZXO9Z0f24fzt0c?si=zXQ0psrQQMmn_kOO4q_T9A",2025-05-04T16:00:52Z,PT17M3S,hd,2d,false,True,265616,3959,0,75,public
66L9ND4HqzY,It’s slowly coming together! ✨🤩 #onesize #studio #glamroom #beauty #makeup,,2025-05-01T21:00:18Z,PT1M12S,hd,2d,false,True,6190,353,0,7,public
W_kZFouf3Rk,Unreal 😭🫶🏽💕 #onesizebeauty #onesize #dreamcometrue,,2025-05-01T18:00:36Z,PT15S,hd,2d,false,True,6913,268,0,8,public
AXp5GhnjtmA,Come with me to the 2025 LA Fashion Awards ✨ #comewithme #fashion #vlog #beauty #makeup #awards,,2025-05-01T15:41:09Z,PT42S,hd,2d,false,True,6193,140,0,1,public
p5_qdm0jx1E,Spent the night attending the LA Fashion Awards 🏆 #vlog #comewithme #fashion #awards,,2025-05-01T00:00:48Z,PT38S,hd,2d,false,True,4945,136,0,0,public
RXW08QT33u4,LA Fashion Awards here I come 🥰 #beauty #makeup #transformation #fyp,,2025-04-30T21:00:34Z,PT11S,hd,2d,false,True,6313,176,0,3,public
dquVFQ1y4Ec,Thoughts while getting ready for the LA Fashion Awards ❤️ #grwm #celebrity #beauty #makeup #fashion,,2025-04-30T18:00:39Z,PT1M33S,hd,2d,false,True,5107,274,0,6,public
wzIYVqNN8BU,Used One/Size Beauty’s FANTASIZE Lifting & Lengthening Mascara ofc 😉 #lashes #makeup #beauty,,2025-04-30T16:49:29Z,PT59S,hd,2d,false,True,7261,219,0,8,public
zeKsdpLNCYg,Coachella Day 2 fits 🤣👖 Full vlog on my channel ✌🏽 #coachella #vlog,,2025-04-21T22:01:09Z,PT1M9S,hd,2d,false,True,5065,244,0,9,public
ZcwmmN3arw4,Coachella was a blast! Full vlog on my channel 🎡❤️ #coachella #vlog,,2025-04-21T20:46:32Z,PT45S,hd,2d,false,True,4894,169,0,1,public
AztuGOQCPEw,Coachella Vlog | PatrickStarrr,"Still on a high from one of the most magical weekends in the desert. I’ve been coming to Coachella for years, but this one hit different. To see ONE/SIZE have its own moment at the 818 Outpost was truly surreal.

What started as a dream has grown into something so much bigger—and sharing that with my friends, chosen family, and all of you means the world to me. Thank you to everyone who stopped by, showed love, and reminded me why we do this.

Coachella wasn’t just about the music or the glam (though there was plenty of that!)—it was about celebrating how far we’ve come. Hope you feel the joy through the screen.

Xoxo
PatrickStarrr

--------------------------------------------------
Connect with me on Social Media!!!

https://patrickstarrr.komi.io/

I N S T A G R A M 
http://instagram.com/patrickstarrr/

T W I T T E R 
https://twitter.com/patrickstarrr

F A C E B O O K
https://www.facebook.com/THEEPATRICKSTARRR

T I K T O K
PATRICKSTARRR

S N A P C H A T 
PSTARRRsnaps

MAIL ME STUFF!
PatrickStarrr
2355 Westwood Blvd.
430 
Los Angeles, CA 90064-2109

------AMAZON FAVS-------
https://www.amazon.com/shop/patrickstarrr

------COUPON CODES-------

MORPHE BRUSHES | 10% OFF
Use Code: PSTARRR
*Make sure you use ALL CAPS*
http://bit.ly/2sIehJC 

LILLY LASHES | 10% OFF
Use Code: PSTARRR
http://bit.ly/2S3ssDT 


LISTEN TO MY MUSIC!
GOT THE GLAM
https://spoti.fi/2Z0zpH8

DON’T
https://spoti.fi/2MaR1Lr

GO OFF 
https://open.spotify.com/track/5n89VhKeZXO9Z0f24fzt0c?si=zXQ0psrQQMmn_kOO4q_T9A",2025-04-20T16:00:15Z,PT29M40S,hd,2d,false,True,55165,1287,0,81,public
UhelQtAgqgc,Mickey & Family Cute Together Keychain Unboxing part 4 ❤️ thank you @pickaparty 🥰 #blindbox,,2025-04-19T00:09:08Z,PT1M22S,hd,2d,false,True,5283,284,0,7,public
ElxtrWbE2e0,Mickey & Family Cute Together Keychain Unboxing part 3 ❤️ thank you @pickaparty  #blindbox #disney,,2025-04-18T21:46:18Z,PT1M10S,hd,2d,false,True,10709,247,0,4,public
E_jFHSttnQE,Mickey & Family Cute Together Keychain Unboxing pt 2 ❤️ thank you ​⁠@pickaparty  #blindbox #disney,,2025-04-18T18:55:53Z,PT1M8S,hd,2d,false,True,9766,229,0,2,public
tJBpPl88FYs,Unboxing Mickey Family Cute Together Keychain ❤️ ​⁠@pickaparty #blindbox #mickeymouse #disney,,2025-04-17T23:30:12Z,PT1M18S,hd,2d,false,True,15308,327,0,6,public
8EIcFTKnCh0,Visit @pickaparty to get all your #blindbox needs!!! 💞 #smiski #sonnyangel #labubu #vlog,,2025-04-17T21:06:18Z,PT1M,hd,2d,false,True,10693,361,0,3,public
lIOpZXbYo38,"I got my first #BlindBox ​⁠at @pickaparty in Whittier, CA 💖 SO MANY BLIND BOXES 🥹 #vlog #surprise",,2025-04-17T18:30:25Z,PT41S,hd,2d,false,True,8441,240,0,1,public
4efta8Ufxm8,This makeup is going NO WHERE 😱🙅🏽‍♀️ #onesize #waterproofmakeup #ontildawn #makeup #onesizebeauty,,2025-04-17T01:00:05Z,PT24S,hd,2d,false,True,17173,425,0,10,public
sH0-ip8Qcdk,This makeup is going NO WHERE 😱🙅🏽‍♀️ #onesize #waterproofmakeup #ontildawn #makeup #onesizebeauty,,2025-04-16T18:24:11Z,PT24S,hd,2d,false,True,11764,269,0,4,public
aWqA02YoFYE,Me after #Coachella 🌯,,2025-04-15T02:47:47Z,PT8S,hd,2d,false,True,23854,522,0,7,public
YEeHXSHPI_0,I want it all! #highschoolmusical #coachella #coachella2025 #hsm #disney #outfit #onesize,,2025-04-14T21:00:28Z,PT20S,hd,2d,false,True,12719,353,0,5,public
TTtFCpUSQR8,🔥Coachella Day 3 Outfit! #coachella #coachella2025 #megantheestallion #onesize #onesizebeauty,,2025-04-14T18:52:53Z,PT13S,hd,2d,false,True,12149,324,0,5,public
Y11UurLOJx4,Ready to rock with JENNIE tonight! 🤘🏼❤️😉 #jennie #coachella #coachella2025 #onesize #day3,,2025-04-14T01:56:35Z,PT8S,hd,2d,false,True,8081,262,0,6,public
l3X2E4qUPRA,GRWM for Coachella Day 3 💋✨#coachella #coachella2025 #makeup #Grwm #beauty #onesize #onesizebeauty,,2025-04-14T01:22:41Z,PT1M,hd,2d,false,True,22314,767,0,12,public
JV-9h8VWriY,Coachella Day 2 ✌🏽✨,,2025-04-13T23:56:26Z,PT13S,hd,2d,false,True,10095,236,0,3,public
40ZqnULCRe0,POV: Coachella Day 2 ✌🏽✨ #coachella #coachella2025 #vlog,,2025-04-13T22:46:57Z,PT30S,hd,2d,false,True,8484,219,0,0,public
cUTxqHVIJe0,READY 2 PARTY for Coachella Day 2 ✌🏽✨ #coachella #coachella2025 #makeup,,2025-04-13T17:01:32Z,PT8S,hd,2d,false,True,7786,219,0,2,public
RTNKEiSepFE,Who’s denim fit did you love?! 👖✨ #fashion #denim #jeans #coachella #coachella2025 #fit #ootd,,2025-04-13T04:06:30Z,PT14S,hd,2d,false,True,14630,255,0,3,public
7cQWI28smz8,DO NOT text your ex 🚫📞🙅🏽‍♂️ #coachella #coachella2025 #makeup #transformation #beauty #onesize,,2025-04-13T03:07:05Z,PT14S,hd,2d,false,True,11203,298,0,5,public
f9iYOq2JWCA,Come with me to Coachella Day 1 with One/Size ✨❤️😉 #coachella #coachella2025 #onesize #ladygaga,,2025-04-12T21:02:25Z,PT1M,hd,2d,false,True,11754,445,0,2,public
9BD68DiNlrI,See you at #Coachella 🫶🏽😉,,2025-04-12T17:43:17Z,PT16S,hd,2d,false,True,11072,238,0,9,public
aa4BTVN79eA,#Coachella Outfit Day 1! See you tonight #LadyGaga ❤️ #coachella2025 #fashion #makeup,,2025-04-12T03:00:01Z,PT12S,hd,2d,false,True,29213,520,0,10,public
FerzGstVRTY,See you tonight Lady Gaa😍✨❤️ #coachella #coachellaoutfit #coachella2025 #ladygaga #fashion,,2025-04-12T00:49:54Z,PT12S,hd,2d,false,True,14861,369,0,6,public
HrW1lNoRNYc,Stay tuned for the Coachella fits this weekend 😉🤪 #coachella #fashion #outfits #stylist,,2025-04-11T20:00:13Z,PT24S,hd,2d,false,True,15247,303,0,14,public
ol1J56wW0Ro,Last one up but the first one ready! #coachella #day1 #coachella2025 #onesizebeauty #onesize,,2025-04-11T18:01:00Z,PT40S,hd,2d,false,True,6059,235,0,3,public
5sFv_aTZAOY,It’s ok! I have my own brand ONE SIZE BEAUTY 🤭🌈💕🫶🏽 #onesizebeauty #ontildawn #coachella,,2025-04-11T17:08:23Z,PT1M,hd,2d,false,True,5719,310,0,4,public
rAbfvHU8XYA,#MakeupTip don't waste the last of your pressed powder! Turn it into a loose powder☺️ #makeup,,2025-04-11T03:49:47Z,PT41S,hd,2d,false,True,16774,633,0,14,public
i-9OaNPN1rE,💖✨Go full beat with me to Ariana Grande’s R.E.M. Beauty NEW starlet liquid eyeshadow launch event😉,,2025-04-11T01:04:52Z,PT37S,hd,2d,false,True,8720,328,0,7,public
P0ZP7Hvbqz0,Love #jennifercoolidge 🫶🏽✨ #thewhitelotus #legallyblonde #shorts,,2025-04-11T00:32:01Z,PT24S,hd,2d,false,True,18803,314,0,5,public
sfuwfBXVgsA,🫶🏽🥕🍰,,2025-04-10T18:00:46Z,PT23S,hd,2d,false,True,12231,377,0,7,public
eSwtHZbT5po,Channeling my inner Sharpay 💖✨ #fabulous #highschoolmusical #sharpayevans #fyp,,2025-04-10T00:00:28Z,PT20S,hd,2d,false,True,9520,246,0,7,public
g667uCNrLNo,You want thingamabobs? I’ve got 20!! 🧜🏽‍♀️✨ #gooff #littlemermaid,,2025-04-09T21:00:39Z,PT21S,hd,2d,false,True,8176,248,0,6,public
WjqxlLAAQCs,Gimme a FULL BEAT Makeup Transformation ✨💋🥰,,2025-04-09T18:00:31Z,PT10S,hd,2d,false,True,10152,256,0,6,public
GE7OBuVh11A,The One/Size Go Off Makeup & Wig Adhesive Dissolving Mist making my wig removals so sooo easy 😍,,2025-04-09T00:00:11Z,PT53S,hd,2d,false,True,8760,364,0,4,public
0vhCaVhw8PE,💋❤️Recreating my look from my Go Off Campaign Shoot!,,2025-04-08T21:00:01Z,PT59S,hd,2d,false,True,6095,236,0,5,public
ALo7jMaT1ks,😆The Limited Edition GO OFF Makeup Remover Dissolving Mist is available now! (Online Only) 😉❤️✨,,2025-04-08T18:00:08Z,PT25S,hd,2d,false,True,6156,218,0,6,public
daG2mqBRFLE,When your waiter is an opera king 😱,,2025-04-07T23:00:28Z,PT1M,hd,2d,false,True,6156,508,0,5,public
smKSUUYO9as,We ooohed and aaahhed and laughed through the whole night celebrating her birthday 🎂🥰 #birthday,,2025-04-07T20:00:29Z,PT1M,hd,2d,false,True,5397,282,0,4,public
3rVD2EDSG1A,My makeup is going nowhere!!! 🚫💦 Full waterproof Makeup Tutorial on my channel 😉✨ #waterproof,,2025-04-07T18:51:40Z,PT27S,hd,2d,false,True,8191,229,0,6,public
_w_0ZWWcEOk,We didn’t know it was the birthday cake 🤣🍰,,2025-04-07T18:03:58Z,PT42S,hd,2d,false,True,12408,207,0,1,public
aglCGifRFPs,"Waterproof Makeup Tutorial | Sweat-Proof, Pool-Proof, All Day Long! | PatrickStarrr","Who’s ready for summer?! Festival season is upon us—and you already know we need makeup that can go all day (and night). So I had to put my glam to the test… and jumped straight into a pool. Yes. Full beat. No regrets. 💦

In this video, I’m sharing my ultimate waterproof makeup routine featuring some of my go-to longwear essentials—including the setting spray that keeps me On ‘Til Dawn 😉. Whether you’re heading to a festival, beach day, or just want your makeup to survive the heat, this look is locked and loaded.

Let’s stay glam all summer long.

xoxo
PatrickStarrr

PRODUCTS USED:
SPF
Neutrogena Beach Defense Water-Resistant SPF 50+ Sunscreen Stick https://amzn.to/4lhEy7l

PRIMER
ONE/SIZE Secure the Blur Makeup Magnet Primer https://bit.ly/3xDXclJ
ONE/SIZE Secure The Sweat Waterproof Mattifying Primer https://bit.ly/41jcV4D
ONE/SIZE Oil Sucker Extreme Mattifying Alkaline Primer https://bit.ly/4keoB1t

FACE
ONE/SIZE Turn Up The Base Versatile Powder Foundation https://bit.ly/3vVa6LF
Laura Mercier Long-Wear Tinted Moisturizer Natural Dewy SPF 30 with Hyaluronic Acid https://bit.ly/4jkhqDC
R.E.M. Beauty Sweetener Concealer https://bit.ly/4i2HYbi
MAC Cosmetics Pro Longwear Liquid Correcting Concealer https://bit.ly/3RzTEHJ
ONE/SIZE Ultimate Blurring Setting Powder https://bit.ly/43VCvOh 
ONE/SIZE Ultimate Setting & Baking Puff https://bit.ly/3SFw8aQ 
Sigma Beauty Matte Bronzer https://amzn.to/3E6g2FK
ONE/SIZE Turn Up The Base Versatile Powder Foundation https://bit.ly/3vVa6LF

EYES
Ardell Active Lashes https://amzn.to/44fqvJw
Makeup By Mario Master Mattes® Eyeshadow Palette https://bit.ly/4i7fOMq
ONE/SIZE On Point Pencil Sharpener https://bit.ly/4iPZwsu

LIPS
MAKEUP FOR EVER Artist Color Pencil Longwear Lip Liner https://bit.ly/3YjQRGm
Kylie Cosmetics Precision Pout Lip Liner https://bit.ly/3YimwrO
MAC Costmetics Lustreglass Sheer-Shine Lipstick https://bit.ly/3E4FXxB
ONE/SIZE On 'Til Dawn Mattifying Waterproof Setting Spray https://bit.ly/3JZw2cd

--------------------------------------------------
Connect with me on Social Media!!!

https://patrickstarrr.komi.io/

I N S T A G R A M 
http://instagram.com/patrickstarrr/

T W I T T E R 
https://twitter.com/patrickstarrr

F A C E B O O K
https://www.facebook.com/THEEPATRICKSTARRR

T I K T O K
PATRICKSTARRR

S N A P C H A T 
PSTARRRsnaps

MAIL ME STUFF!
PatrickStarrr
2355 Westwood Blvd.
430 
Los Angeles, CA 90064-2109

------AMAZON FAVS-------
https://www.amazon.com/shop/patrickstarrr

------COUPON CODES-------

MORPHE BRUSHES | 10% OFF
Use Code: PSTARRR
*Make sure you use ALL CAPS*
http://bit.ly/2sIehJC 

LILLY LASHES | 10% OFF
Use Code: PSTARRR
http://bit.ly/2S3ssDT 


LISTEN TO MY MUSIC!
GOT THE GLAM
https://spoti.fi/2Z0zpH8

DON’T
https://spoti.fi/2MaR1Lr

GO OFF 
https://open.spotify.com/track/5n89VhKeZXO9Z0f24fzt0c?si=zXQ0psrQQMmn_kOO4q_T9A",2025-04-06T16:00:02Z,PT14M16S,hd,2d,false,True,389514,13330,0,46,public
WCJGUhqG8gQ,A Parisian themed birthday party for our Paris loving friend 💖 Happy birthday we love you!!,,2025-03-30T02:00:20Z,PT39S,hd,2d,false,True,8557,314,0,4,public
z74QmUlWs9g,Come with me to tuft rugs for a birthday! 🥳🎉 #birthday #surprise #tufting #rugs #art #crafts #fyp,,2025-03-29T22:00:39Z,PT46S,hd,2d,false,True,6351,260,0,2,public
BQAXr8d8f2o,Shoutout the Pisces in your life! ♓️#grwm #birthday #surprise #makeup #glam #beauty #fyp,,2025-03-29T18:00:07Z,PT46S,hd,2d,false,True,5647,287,0,13,public
